Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-07-11,Cumberland Plateau,80,2,1,0
2020-07-11,Alleghany,50-59,78,5,1
2020-07-11,Prince William,40-49,2019,149,7
2020-07-11,Fairfax,Missing,155,4,0
2020-07-11,Virginia Beach,40-49,234,19,1
2020-07-11,Richmond,Missing,20,0,0
2020-07-11,Norfolk,40-49,186,14,1
2020-07-11,Piedmont,80,49,21,11
2020-07-11,Virginia Beach,60-69,171,19,1
2020-07-11,West Piedmont,40-49,104,8,2
2020-07-11,Arlington,10-19,111,5,0
2020-07-11,Lenowisco,0-9,3,0,0
2020-07-11,Pittsylvania-Danville,50-59,54,11,0
2020-07-11,Virginia Beach,50-59,202,17,0
2020-07-11,Chesapeake,Missing,23,1,0
2020-07-11,Central Shenandoah,80,116,29,16
2020-07-11,Thomas Jefferson,40-49,186,14,0
2020-07-11,Rappahannock Rapidan,60-69,126,17,4
2020-07-11,Norfolk,30-39,289,15,1
2020-07-11,Rappahannock Rapidan,Missing,8,0,0
2020-07-11,Lord Fairfax,80,153,37,40
2020-07-11,Three Rivers,10-19,36,0,0
2020-07-11,Piedmont,40-49,199,11,0
2020-07-11,Norfolk,80,33,11,4
2020-07-11,Peninsula,20-29,270,1,0
2020-07-11,Norfolk,50-59,161,21,3
2020-07-11,Thomas Jefferson,50-59,144,12,2
2020-07-11,Richmond,70-79,87,37,14
2020-07-11,Chesterfield,70-79,133,25,20
2020-07-11,Piedmont,30-39,220,5,0
2020-07-11,Prince William,30-39,1809,92,2
2020-07-11,Alleghany,20-29,108,1,0
2020-07-11,Alleghany,0-9,13,0,0
2020-07-11,Mount Rogers,40-49,119,3,1
2020-07-11,Eastern Shore,40-49,247,10,2
2020-07-11,Central Virginia,60-69,51,4,2
2020-07-11,Richmond,10-19,198,2,0
2020-07-11,Pittsylvania-Danville,60-69,33,9,1
2020-07-11,Pittsylvania-Danville,Missing,0,0,0
2020-07-11,Chesterfield,60-69,307,43,11
2020-07-11,Southside,10-19,11,0,0
2020-07-11,New River,80,13,4,2
2020-07-11,Central Virginia,50-59,75,2,2
2020-07-11,Hampton,70-79,26,8,0
2020-07-11,Pittsylvania-Danville,10-19,16,0,0
2020-07-11,Richmond,60-69,213,48,6
2020-07-11,Chickahominy,40-49,94,12,1
2020-07-11,Three Rivers,80,36,8,4
2020-07-11,Rappahannock,30-39,503,24,0
2020-07-11,Norfolk,0-9,48,2,0
2020-07-11,Cumberland Plateau,40-49,18,0,0
2020-07-11,Eastern Shore,10-19,59,1,0
2020-07-11,Mount Rogers,10-19,65,0,0
2020-07-11,Rappahannock Rapidan,0-9,75,1,0
2020-07-11,Three Rivers,0-9,10,1,0
2020-07-11,Henrico,40-49,415,26,2
2020-07-11,Alexandria,50-59,314,51,10
2020-07-11,Arlington,0-9,50,2,0
2020-07-11,Chickahominy,Missing,15,0,0
2020-07-11,New River,20-29,74,0,0
2020-07-11,Virginia Beach,20-29,455,7,0
2020-07-11,Chesapeake,50-59,177,26,1
2020-07-11,Alleghany,80,42,8,6
2020-07-11,Fairfax,10-19,903,26,0
2020-07-11,Chesapeake,60-69,131,32,5
2020-07-11,West Piedmont,Missing,0,0,0
2020-07-11,Peninsula,80,57,24,15
2020-07-11,Crater,40-49,236,15,1
2020-07-11,Chesapeake,40-49,185,27,1
2020-07-11,Thomas Jefferson,20-29,203,2,0
2020-07-11,Lord Fairfax,20-29,363,5,0
2020-07-11,Norfolk,20-29,452,5,0
2020-07-11,Arlington,30-39,469,43,0
2020-07-11,West Piedmont,60-69,66,8,0
2020-07-11,Henrico,50-59,360,39,8
2020-07-11,West Piedmont,50-59,113,15,1
2020-07-11,Cumberland Plateau,20-29,8,0,0
2020-07-11,Alexandria,70-79,104,38,19
2020-07-11,Portsmouth,20-29,148,9,0
2020-07-11,Western Tidewater,30-39,144,9,0
2020-07-11,Central Shenandoah,0-9,59,0,0
2020-07-11,Henrico,80,322,65,86
2020-07-11,Alexandria,0-9,137,2,0
2020-07-11,Pittsylvania-Danville,40-49,59,6,0
2020-07-11,Henrico,20-29,405,15,0
2020-07-11,Roanoke,60-69,39,3,0
2020-07-11,Peninsula,30-39,232,7,1
2020-07-11,Alleghany,60-69,64,7,1
2020-07-11,Prince William,70-79,318,98,43
2020-07-11,Norfolk,60-69,127,30,2
2020-07-11,Southside,40-49,62,5,0
