"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-19,Southside,"Not Reported",4,0,0
2020-07-19,Chesapeake,Female,953,89,12
2020-07-19,Richmond,Female,1256,114,10
2020-07-19,Roanoke,Male,290,8,3
2020-07-19,Fairfax,"Not Reported",94,2,2
2020-07-19,"Thomas Jefferson",Female,736,61,14
2020-07-19,Chesapeake,"Not Reported",3,0,0
2020-07-19,"Cumberland Plateau",Male,66,7,0
2020-07-19,"Eastern Shore",Female,667,61,23
2020-07-19,"Lord Fairfax","Not Reported",8,0,0
2020-07-19,Rappahannock,"Not Reported",7,1,0
2020-07-19,"Central Shenandoah","Not Reported",1,0,0
2020-07-19,Peninsula,Male,884,73,15
2020-07-19,Norfolk,Male,1004,69,11
2020-07-19,Alexandria,Female,1319,119,30
2020-07-19,Lenowisco,Male,53,11,4
2020-07-19,Pittsylvania-Danville,Female,234,29,3
2020-07-19,"New River","Not Reported",3,0,0
2020-07-19,Chesterfield,"Not Reported",91,0,2
2020-07-19,Loudoun,Male,2292,180,39
2020-07-19,"Rappahannock Rapidan",Female,839,51,10
2020-07-19,Piedmont,Female,355,47,5
2020-07-19,Richmond,Male,1265,134,24
2020-07-19,Crater,Female,812,97,29
2020-07-19,Portsmouth,Female,505,56,12
2020-07-19,Arlington,"Not Reported",4,0,0
2020-07-19,"Mount Rogers","Not Reported",2,0,0
2020-07-19,"Thomas Jefferson","Not Reported",0,0,0
2020-07-19,"Three Rivers","Not Reported",20,0,0
2020-07-19,Hampton,Male,310,27,3
2020-07-19,Alleghany,Male,321,24,5
2020-07-19,Roanoke,Female,335,7,7
2020-07-19,Loudoun,"Not Reported",27,0,0
2020-07-19,Fairfax,Female,7630,771,256
2020-07-19,"Western Tidewater",Male,601,64,38
2020-07-19,Peninsula,"Not Reported",6,0,0
2020-07-19,"New River",Male,180,17,5
2020-07-19,"Central Shenandoah",Male,1120,94,23
2020-07-19,Southside,Male,239,30,13
2020-07-19,Chesterfield,Male,1813,102,42
2020-07-19,Arlington,Female,1343,192,66
2020-07-19,Rappahannock,Male,1327,135,27
2020-07-19,"Central Virginia",Male,301,10,4
2020-07-19,Alleghany,"Not Reported",7,0,0
2020-07-19,Henrico,Male,1382,151,83
2020-07-19,"Thomas Jefferson",Male,640,55,15
2020-07-19,"Lord Fairfax",Male,1092,107,36
2020-07-19,"Three Rivers",Male,574,25,3
2020-07-19,Richmond,"Not Reported",42,2,2
2020-07-19,Pittsylvania-Danville,Male,168,23,1
2020-07-19,Portsmouth,"Not Reported",3,0,0
2020-07-19,Norfolk,"Not Reported",1,0,0
2020-07-19,Chesapeake,Male,729,75,12
2020-07-19,Chickahominy,Female,428,59,20
2020-07-19,"Prince William",Male,5026,494,107
2020-07-19,"Eastern Shore","Not Reported",9,0,0
2020-07-19,"Eastern Shore",Male,654,55,20
2020-07-19,"Rappahannock Rapidan",Male,840,73,14
2020-07-19,Henrico,"Not Reported",13,0,0
2020-07-19,"Cumberland Plateau",Female,69,2,0
2020-07-19,"West Piedmont",Male,319,35,4
2020-07-19,Hampton,"Not Reported",3,0,0
2020-07-19,Alexandria,"Not Reported",8,0,0
2020-07-19,"Western Tidewater","Not Reported",1,0,0
2020-07-19,"Cumberland Plateau","Not Reported",0,0,0
2020-07-19,"Virginia Beach",Male,1195,76,20
2020-07-19,Alleghany,Female,376,13,10
2020-07-19,Lenowisco,Female,60,10,1
2020-07-19,"Virginia Beach","Not Reported",11,0,0
2020-07-19,"Western Tidewater",Female,678,45,30
2020-07-19,"Mount Rogers",Male,440,58,20
2020-07-19,"Lord Fairfax",Female,1210,95,44
2020-07-19,Piedmont,"Not Reported",4,0,0
2020-07-19,Alexandria,Male,1220,136,26
2020-07-19,Pittsylvania-Danville,"Not Reported",3,0,0
2020-07-19,"West Piedmont","Not Reported",4,0,0
2020-07-19,Loudoun,Female,2328,137,64
2020-07-19,Hampton,Female,388,15,1
2020-07-19,Henrico,Female,1642,133,92
2020-07-19,"Prince William","Not Reported",69,1,0
2020-07-19,Chickahominy,Male,352,56,20
2020-07-19,"Rappahannock Rapidan","Not Reported",7,1,1
2020-07-19,Peninsula,Female,1034,71,23
2020-07-19,Lenowisco,"Not Reported",0,0,0
2020-07-19,Crater,"Not Reported",15,1,0
2020-07-19,Chickahominy,"Not Reported",4,0,0
2020-07-19,Portsmouth,Male,458,40,8
2020-07-19,"New River",Female,160,8,1
2020-07-19,Rappahannock,Female,1494,120,19
2020-07-19,"Central Virginia",Female,294,7,2
2020-07-19,Roanoke,"Not Reported",12,0,0
2020-07-19,"West Piedmont",Female,376,43,4
2020-07-19,"Mount Rogers",Female,515,31,16
2020-07-19,Piedmont,Male,805,67,14
2020-07-19,Chesterfield,Female,1809,104,44
2020-07-19,Fairfax,Male,7281,1037,264
2020-07-19,Crater,Male,1022,90,21
2020-07-19,"Central Virginia","Not Reported",0,0,0
2020-07-19,"Prince William",Female,5056,389,82
2020-07-19,"Virginia Beach",Female,1404,72,17
2020-07-19,Norfolk,Female,1150,71,8
2020-07-19,"Three Rivers",Female,261,36,8
2020-07-19,Arlington,Male,1386,238,69
2020-07-19,"Central Shenandoah",Female,1289,96,25
2020-07-19,Southside,Female,290,30,19
