"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-07,Southside,"Not Reported",4,0,0
2020-07-07,Chesapeake,Female,599,83,10
2020-07-07,Richmond,Female,1112,104,8
2020-07-07,Roanoke,Male,231,7,3
2020-07-07,Fairfax,"Not Reported",103,3,3
2020-07-07,"Thomas Jefferson",Female,561,54,14
2020-07-07,Chesapeake,"Not Reported",1,0,0
2020-07-07,"Cumberland Plateau",Male,34,1,0
2020-07-07,"Eastern Shore",Female,659,59,23
2020-07-07,"Lord Fairfax","Not Reported",7,0,0
2020-07-07,Rappahannock,"Not Reported",6,1,0
2020-07-07,"Central Shenandoah","Not Reported",1,0,0
2020-07-07,Peninsula,Male,530,64,13
2020-07-07,Norfolk,Male,559,61,9
2020-07-07,Alexandria,Female,1233,110,30
2020-07-07,Lenowisco,Male,28,8,3
2020-07-07,Pittsylvania-Danville,Female,138,23,2
2020-07-07,"New River","Not Reported",3,0,0
2020-07-07,Chesterfield,"Not Reported",79,0,2
2020-07-07,Loudoun,Male,2098,154,34
2020-07-07,"Rappahannock Rapidan",Female,746,48,9
2020-07-07,Piedmont,Female,315,41,5
2020-07-07,Richmond,Male,1149,122,19
2020-07-07,Crater,Female,695,84,23
2020-07-07,Portsmouth,Female,280,44,11
2020-07-07,Arlington,"Not Reported",1,0,0
2020-07-07,"Mount Rogers","Not Reported",2,0,0
2020-07-07,"Thomas Jefferson","Not Reported",0,0,0
2020-07-07,"Three Rivers","Not Reported",18,0,0
2020-07-07,Hampton,Male,170,26,3
2020-07-07,Alleghany,Male,263,21,5
2020-07-07,Roanoke,Female,264,7,7
2020-07-07,Loudoun,"Not Reported",22,0,1
2020-07-07,Fairfax,Female,7255,737,250
2020-07-07,"Western Tidewater",Male,440,55,31
2020-07-07,Peninsula,"Not Reported",4,0,0
2020-07-07,"New River",Male,139,14,4
2020-07-07,"Central Shenandoah",Male,1000,81,19
2020-07-07,Southside,Male,179,26,12
2020-07-07,Chesterfield,Male,1610,86,36
2020-07-07,Arlington,Female,1259,191,63
2020-07-07,Rappahannock,Male,1201,126,26
2020-07-07,"Central Virginia",Male,225,9,4
2020-07-07,Alleghany,"Not Reported",3,0,0
2020-07-07,Henrico,Male,1210,142,79
2020-07-07,"Thomas Jefferson",Male,502,47,15
2020-07-07,"Lord Fairfax",Male,1002,96,36
2020-07-07,"Three Rivers",Male,445,20,3
2020-07-07,Richmond,"Not Reported",40,2,2
2020-07-07,Pittsylvania-Danville,Male,98,20,1
2020-07-07,Portsmouth,"Not Reported",3,0,0
2020-07-07,Norfolk,"Not Reported",0,0,0
2020-07-07,Chesapeake,Male,446,71,12
2020-07-07,Chickahominy,Female,376,56,21
2020-07-07,"Prince William",Male,4741,468,99
2020-07-07,"Eastern Shore","Not Reported",9,0,0
2020-07-07,"Eastern Shore",Male,646,54,19
2020-07-07,"Rappahannock Rapidan",Male,761,64,13
2020-07-07,Henrico,"Not Reported",13,0,1
2020-07-07,"Cumberland Plateau",Female,41,1,0
2020-07-07,"West Piedmont",Male,254,22,4
2020-07-07,Hampton,"Not Reported",3,0,0
2020-07-07,Alexandria,"Not Reported",6,0,0
2020-07-07,"Western Tidewater","Not Reported",2,0,0
2020-07-07,"Cumberland Plateau","Not Reported",0,0,0
2020-07-07,"Virginia Beach",Male,670,65,16
2020-07-07,Alleghany,Female,306,10,10
2020-07-07,Lenowisco,Female,35,9,1
2020-07-07,"Virginia Beach","Not Reported",9,0,0
2020-07-07,"Western Tidewater",Female,450,36,26
2020-07-07,"Mount Rogers",Male,358,51,18
2020-07-07,"Lord Fairfax",Female,1097,90,38
2020-07-07,Piedmont,"Not Reported",5,0,0
2020-07-07,Alexandria,Male,1160,131,27
2020-07-07,Pittsylvania-Danville,"Not Reported",2,0,0
2020-07-07,"West Piedmont","Not Reported",9,0,0
2020-07-07,Loudoun,Female,2132,126,58
2020-07-07,Hampton,Female,217,15,2
2020-07-07,Henrico,Female,1485,123,83
2020-07-07,"Prince William","Not Reported",65,1,0
2020-07-07,Chickahominy,Male,303,54,20
2020-07-07,"Rappahannock Rapidan","Not Reported",2,1,1
2020-07-07,Peninsula,Female,610,63,21
2020-07-07,Lenowisco,"Not Reported",0,0,0
2020-07-07,Crater,"Not Reported",14,1,0
2020-07-07,Chickahominy,"Not Reported",4,0,0
2020-07-07,Portsmouth,Male,289,31,7
2020-07-07,"New River",Female,126,8,1
2020-07-07,Rappahannock,Female,1352,105,18
2020-07-07,"Central Virginia",Female,219,7,2
2020-07-07,Roanoke,"Not Reported",7,0,0
2020-07-07,"West Piedmont",Female,288,24,4
2020-07-07,"Mount Rogers",Female,421,24,15
2020-07-07,Piedmont,Male,756,49,9
2020-07-07,Chesterfield,Female,1607,73,38
2020-07-07,Fairfax,Male,6959,958,257
2020-07-07,Crater,Male,931,76,17
2020-07-07,"Central Virginia","Not Reported",0,0,0
2020-07-07,"Prince William",Female,4737,375,73
2020-07-07,"Virginia Beach",Female,776,59,14
2020-07-07,Norfolk,Female,603,55,3
2020-07-07,"Three Rivers",Female,207,32,7
2020-07-07,Arlington,Male,1290,231,68
2020-07-07,"Central Shenandoah",Female,1165,91,22
2020-07-07,Southside,Female,250,25,18
