"Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations"
2020-09-01,Southside,"Not Reported",4,0
2020-09-01,Chesapeake,Female,2104,169
2020-09-01,Richmond,Female,1946,185
2020-09-01,Roanoke,Male,560,19
2020-09-01,Fairfax,"Not Reported",130,2
2020-09-01,"Thomas Jefferson",Female,1324,88
2020-09-01,Chesapeake,"Not Reported",5,0
2020-09-01,"Cumberland Plateau",Male,258,25
2020-09-01,"Eastern Shore",Female,732,69
2020-09-01,"Lord Fairfax","Not Reported",12,0
2020-09-01,Rappahannock,"Not Reported",8,1
2020-09-01,"Central Shenandoah","Not Reported",4,0
2020-09-01,Peninsula,Male,1811,94
2020-09-01,Norfolk,Male,2100,141
2020-09-01,Alexandria,Female,1760,136
2020-09-01,Lenowisco,Male,356,33
2020-09-01,Pittsylvania-Danville,Female,754,57
2020-09-01,"New River","Not Reported",8,0
2020-09-01,Chesterfield,"Not Reported",130,0
2020-09-01,Loudoun,Male,2948,217
2020-09-01,"Rappahannock Rapidan",Female,1182,63
2020-09-01,Piedmont,Female,549,51
2020-09-01,Richmond,Male,1926,187
2020-09-01,Crater,Female,1385,134
2020-09-01,Portsmouth,Female,1234,98
2020-09-01,Arlington,"Not Reported",6,0
2020-09-01,"Mount Rogers","Not Reported",9,0
2020-09-01,"Thomas Jefferson","Not Reported",3,0
2020-09-01,"Three Rivers","Not Reported",23,0
2020-09-01,Hampton,Male,696,36
2020-09-01,Alleghany,Male,557,37
2020-09-01,Roanoke,Female,628,26
2020-09-01,Loudoun,"Not Reported",43,0
2020-09-01,Fairfax,Female,9532,891
2020-09-01,"Western Tidewater",Male,1296,90
2020-09-01,Peninsula,"Not Reported",16,0
2020-09-01,"New River",Male,668,26
2020-09-01,"Central Shenandoah",Male,1591,114
2020-09-01,Southside,Male,538,37
2020-09-01,Chesterfield,Male,2638,159
2020-09-01,Arlington,Female,1759,204
2020-09-01,Rappahannock,Male,2104,184
2020-09-01,"Central Virginia",Male,1102,44
2020-09-01,Alleghany,"Not Reported",6,0
2020-09-01,Henrico,Male,2186,194
2020-09-01,"Thomas Jefferson",Male,1163,82
2020-09-01,"Lord Fairfax",Male,1329,131
2020-09-01,"Three Rivers",Male,748,46
2020-09-01,Richmond,"Not Reported",48,2
2020-09-01,Pittsylvania-Danville,Male,629,41
2020-09-01,Portsmouth,"Not Reported",3,0
2020-09-01,Norfolk,"Not Reported",2,0
2020-09-01,Chesapeake,Male,1702,159
2020-09-01,Chickahominy,Female,709,70
2020-09-01,"Prince William",Male,6475,588
2020-09-01,"Eastern Shore","Not Reported",9,0
2020-09-01,"Eastern Shore",Male,711,67
2020-09-01,"Rappahannock Rapidan",Male,1106,89
2020-09-01,Henrico,"Not Reported",26,0
2020-09-01,"Cumberland Plateau",Female,292,23
2020-09-01,"West Piedmont",Male,696,89
2020-09-01,Hampton,"Not Reported",5,0
2020-09-01,Alexandria,"Not Reported",10,0
2020-09-01,"Western Tidewater","Not Reported",5,0
2020-09-01,"Cumberland Plateau","Not Reported",0,0
2020-09-01,"Virginia Beach",Male,2736,155
2020-09-01,Alleghany,Female,619,24
2020-09-01,Lenowisco,Female,361,29
2020-09-01,"Virginia Beach","Not Reported",15,0
2020-09-01,"Western Tidewater",Female,1590,71
2020-09-01,"Mount Rogers",Male,895,113
2020-09-01,"Lord Fairfax",Female,1477,115
2020-09-01,Piedmont,"Not Reported",5,0
2020-09-01,Alexandria,Male,1625,162
2020-09-01,Pittsylvania-Danville,"Not Reported",8,0
2020-09-01,"West Piedmont","Not Reported",7,0
2020-09-01,Loudoun,Female,3017,170
2020-09-01,Hampton,Female,861,18
2020-09-01,Henrico,Female,2439,187
2020-09-01,"Prince William","Not Reported",115,1
2020-09-01,Chickahominy,Male,536,70
2020-09-01,"Rappahannock Rapidan","Not Reported",12,0
2020-09-01,Peninsula,Female,1944,87
2020-09-01,Lenowisco,"Not Reported",7,0
2020-09-01,Crater,"Not Reported",49,1
2020-09-01,Chickahominy,"Not Reported",7,0
2020-09-01,Portsmouth,Male,997,82
2020-09-01,"New River",Female,659,11
2020-09-01,Rappahannock,Female,2377,166
2020-09-01,"Central Virginia",Female,1241,34
2020-09-01,Roanoke,"Not Reported",13,0
2020-09-01,"West Piedmont",Female,919,109
2020-09-01,"Mount Rogers",Female,1090,69
2020-09-01,Piedmont,Male,1158,76
2020-09-01,Chesterfield,Female,2756,144
2020-09-01,Fairfax,Male,9034,1189
2020-09-01,Crater,Male,1762,115
2020-09-01,"Central Virginia","Not Reported",14,0
2020-09-01,"Prince William",Female,6692,449
2020-09-01,"Virginia Beach",Female,3298,166
2020-09-01,Norfolk,Female,2304,147
2020-09-01,"Three Rivers",Female,519,48
2020-09-01,Arlington,Male,1795,262
2020-09-01,"Central Shenandoah",Female,1869,121
2020-09-01,Southside,Female,494,32
2020-09-02,Southside,"Not Reported",4,0
2020-09-02,Chesapeake,Female,2114,173
2020-09-02,Richmond,Female,1959,185
2020-09-02,Roanoke,Male,561,19
2020-09-02,Fairfax,"Not Reported",138,2
2020-09-02,"Thomas Jefferson",Female,1335,88
2020-09-02,Chesapeake,"Not Reported",5,0
2020-09-02,"Cumberland Plateau",Male,262,25
2020-09-02,"Eastern Shore",Female,732,69
2020-09-02,"Lord Fairfax","Not Reported",13,0
2020-09-02,Rappahannock,"Not Reported",7,1
2020-09-02,"Central Shenandoah","Not Reported",5,0
2020-09-02,Peninsula,Male,1824,94
2020-09-02,Norfolk,Male,2114,144
2020-09-02,Alexandria,Female,1772,138
2020-09-02,Lenowisco,Male,361,34
2020-09-02,Pittsylvania-Danville,Female,763,58
2020-09-02,"New River","Not Reported",10,0
2020-09-02,Chesterfield,"Not Reported",131,0
2020-09-02,Loudoun,Male,2969,218
2020-09-02,"Rappahannock Rapidan",Female,1186,63
2020-09-02,Piedmont,Female,550,51
2020-09-02,Richmond,Male,1942,186
2020-09-02,Crater,Female,1398,135
2020-09-02,Portsmouth,Female,1238,101
2020-09-02,Arlington,"Not Reported",6,0
2020-09-02,"Mount Rogers","Not Reported",10,0
2020-09-02,"Thomas Jefferson","Not Reported",3,0
2020-09-02,"Three Rivers","Not Reported",22,0
2020-09-02,Hampton,Male,698,36
2020-09-02,Alleghany,Male,555,37
2020-09-02,Roanoke,Female,629,26
2020-09-02,Loudoun,"Not Reported",49,0
2020-09-02,Fairfax,Female,9581,891
2020-09-02,"Western Tidewater",Male,1309,90
2020-09-02,Peninsula,"Not Reported",15,0
2020-09-02,"New River",Male,724,26
2020-09-02,"Central Shenandoah",Male,1630,114
2020-09-02,Southside,Male,546,39
2020-09-02,Chesterfield,Male,2659,160
2020-09-02,Arlington,Female,1761,206
2020-09-02,Rappahannock,Male,2115,184
2020-09-02,"Central Virginia",Male,1119,44
2020-09-02,Alleghany,"Not Reported",6,0
2020-09-02,Henrico,Male,2198,194
2020-09-02,"Thomas Jefferson",Male,1177,82
2020-09-02,"Lord Fairfax",Male,1334,133
2020-09-02,"Three Rivers",Male,753,46
2020-09-02,Richmond,"Not Reported",49,2
2020-09-02,Pittsylvania-Danville,Male,636,42
2020-09-02,Portsmouth,"Not Reported",3,0
2020-09-02,Norfolk,"Not Reported",2,0
2020-09-02,Chesapeake,Male,1707,161
2020-09-02,Chickahominy,Female,714,72
2020-09-02,"Prince William",Male,6503,590
2020-09-02,"Eastern Shore","Not Reported",9,0
2020-09-02,"Eastern Shore",Male,711,67
2020-09-02,"Rappahannock Rapidan",Male,1112,89
2020-09-02,Henrico,"Not Reported",26,0
2020-09-02,"Cumberland Plateau",Female,292,23
2020-09-02,"West Piedmont",Male,708,90
2020-09-02,Hampton,"Not Reported",5,0
2020-09-02,Alexandria,"Not Reported",10,0
2020-09-02,"Western Tidewater","Not Reported",5,0
2020-09-02,"Cumberland Plateau","Not Reported",0,0
2020-09-02,"Virginia Beach",Male,2748,156
2020-09-02,Alleghany,Female,624,25
2020-09-02,Lenowisco,Female,363,29
2020-09-02,"Virginia Beach","Not Reported",15,0
2020-09-02,"Western Tidewater",Female,1600,71
2020-09-02,"Mount Rogers",Male,909,117
2020-09-02,"Lord Fairfax",Female,1485,115
2020-09-02,Piedmont,"Not Reported",5,0
2020-09-02,Alexandria,Male,1633,162
2020-09-02,Pittsylvania-Danville,"Not Reported",8,0
2020-09-02,"West Piedmont","Not Reported",7,0
2020-09-02,Loudoun,Female,3035,171
2020-09-02,Hampton,Female,867,18
2020-09-02,Henrico,Female,2446,187
2020-09-02,"Prince William","Not Reported",112,1
2020-09-02,Chickahominy,Male,540,71
2020-09-02,"Rappahannock Rapidan","Not Reported",12,0
2020-09-02,Peninsula,Female,1964,87
2020-09-02,Lenowisco,"Not Reported",7,0
2020-09-02,Crater,"Not Reported",49,1
2020-09-02,Chickahominy,"Not Reported",6,0
2020-09-02,Portsmouth,Male,1001,85
2020-09-02,"New River",Female,712,11
2020-09-02,Rappahannock,Female,2398,167
2020-09-02,"Central Virginia",Female,1253,36
2020-09-02,Roanoke,"Not Reported",13,0
2020-09-02,"West Piedmont",Female,927,110
2020-09-02,"Mount Rogers",Female,1118,70
2020-09-02,Piedmont,Male,1170,76
2020-09-02,Chesterfield,Female,2776,144
2020-09-02,Fairfax,Male,9074,1193
2020-09-02,Crater,Male,1781,117
2020-09-02,"Central Virginia","Not Reported",13,0
2020-09-02,"Prince William",Female,6713,450
2020-09-02,"Virginia Beach",Female,3318,168
2020-09-02,Norfolk,Female,2313,147
2020-09-02,"Three Rivers",Female,523,48
2020-09-02,Arlington,Male,1802,263
2020-09-02,"Central Shenandoah",Female,1916,122
2020-09-02,Southside,Female,502,32
2020-09-03,Southside,"Not Reported",4,0
2020-09-03,Chesapeake,Female,2130,177
2020-09-03,Richmond,Female,1994,188
2020-09-03,Roanoke,Male,557,19
2020-09-03,Fairfax,"Not Reported",137,2
2020-09-03,"Thomas Jefferson",Female,1359,88
2020-09-03,Chesapeake,"Not Reported",5,0
2020-09-03,"Cumberland Plateau",Male,264,25
2020-09-03,"Eastern Shore",Female,735,69
2020-09-03,"Lord Fairfax","Not Reported",13,0
2020-09-03,Rappahannock,"Not Reported",7,1
2020-09-03,"Central Shenandoah","Not Reported",6,0
2020-09-03,Peninsula,Male,1848,94
2020-09-03,Norfolk,Male,2124,149
2020-09-03,Alexandria,Female,1784,138
2020-09-03,Lenowisco,Male,369,35
2020-09-03,Pittsylvania-Danville,Female,780,61
2020-09-03,"New River","Not Reported",13,0
2020-09-03,Chesterfield,"Not Reported",130,0
2020-09-03,Loudoun,Male,2972,218
2020-09-03,"Rappahannock Rapidan",Female,1197,64
2020-09-03,Piedmont,Female,553,51
2020-09-03,Richmond,Male,1983,186
2020-09-03,Crater,Female,1410,135
2020-09-03,Portsmouth,Female,1249,102
2020-09-03,Arlington,"Not Reported",6,0
2020-09-03,"Mount Rogers","Not Reported",13,0
2020-09-03,"Thomas Jefferson","Not Reported",3,0
2020-09-03,"Three Rivers","Not Reported",22,0
2020-09-03,Hampton,Male,707,36
2020-09-03,Alleghany,Male,563,37
2020-09-03,Roanoke,Female,629,27
2020-09-03,Loudoun,"Not Reported",51,0
2020-09-03,Fairfax,Female,9621,900
2020-09-03,"Western Tidewater",Male,1327,90
2020-09-03,Peninsula,"Not Reported",15,0
2020-09-03,"New River",Male,763,26
2020-09-03,"Central Shenandoah",Male,1662,114
2020-09-03,Southside,Male,556,39
2020-09-03,Chesterfield,Male,2677,160
2020-09-03,Arlington,Female,1772,206
2020-09-03,Rappahannock,Male,2135,186
2020-09-03,"Central Virginia",Male,1147,44
2020-09-03,Alleghany,"Not Reported",6,0
2020-09-03,Henrico,Male,2218,194
2020-09-03,"Thomas Jefferson",Male,1200,83
2020-09-03,"Lord Fairfax",Male,1336,133
2020-09-03,"Three Rivers",Male,760,46
2020-09-03,Richmond,"Not Reported",50,2
2020-09-03,Pittsylvania-Danville,Male,649,43
2020-09-03,Portsmouth,"Not Reported",3,0
2020-09-03,Norfolk,"Not Reported",2,0
2020-09-03,Chesapeake,Male,1724,162
2020-09-03,Chickahominy,Female,729,72
2020-09-03,"Prince William",Male,6541,591
2020-09-03,"Eastern Shore","Not Reported",9,0
2020-09-03,"Eastern Shore",Male,711,67
2020-09-03,"Rappahannock Rapidan",Male,1114,90
2020-09-03,Henrico,"Not Reported",26,0
2020-09-03,"Cumberland Plateau",Female,294,23
2020-09-03,"West Piedmont",Male,720,90
2020-09-03,Hampton,"Not Reported",5,0
2020-09-03,Alexandria,"Not Reported",10,0
2020-09-03,"Western Tidewater","Not Reported",5,0
2020-09-03,"Cumberland Plateau","Not Reported",0,0
2020-09-03,"Virginia Beach",Male,2772,156
2020-09-03,Alleghany,Female,638,25
2020-09-03,Lenowisco,Female,368,30
2020-09-03,"Virginia Beach","Not Reported",15,0
2020-09-03,"Western Tidewater",Female,1629,71
2020-09-03,"Mount Rogers",Male,920,119
2020-09-03,"Lord Fairfax",Female,1491,117
2020-09-03,Piedmont,"Not Reported",5,0
2020-09-03,Alexandria,Male,1642,163
2020-09-03,Pittsylvania-Danville,"Not Reported",8,0
2020-09-03,"West Piedmont","Not Reported",8,0
2020-09-03,Loudoun,Female,3054,173
2020-09-03,Hampton,Female,877,18
2020-09-03,Henrico,Female,2463,189
2020-09-03,"Prince William","Not Reported",116,1
2020-09-03,Chickahominy,Male,545,71
2020-09-03,"Rappahannock Rapidan","Not Reported",12,0
2020-09-03,Peninsula,Female,1989,87
2020-09-03,Lenowisco,"Not Reported",7,0
2020-09-03,Crater,"Not Reported",50,1
2020-09-03,Chickahominy,"Not Reported",6,0
2020-09-03,Portsmouth,Male,1006,86
2020-09-03,"New River",Female,758,11
2020-09-03,Rappahannock,Female,2410,167
2020-09-03,"Central Virginia",Female,1274,37
2020-09-03,Roanoke,"Not Reported",13,0
2020-09-03,"West Piedmont",Female,936,110
2020-09-03,"Mount Rogers",Female,1139,70
2020-09-03,Piedmont,Male,1175,76
2020-09-03,Chesterfield,Female,2799,144
2020-09-03,Fairfax,Male,9100,1198
2020-09-03,Crater,Male,1800,117
2020-09-03,"Central Virginia","Not Reported",13,0
2020-09-03,"Prince William",Female,6757,453
2020-09-03,"Virginia Beach",Female,3341,170
2020-09-03,Norfolk,Female,2324,151
2020-09-03,"Three Rivers",Female,535,48
2020-09-03,Arlington,Male,1809,264
2020-09-03,"Central Shenandoah",Female,1952,123
2020-09-03,Southside,Female,508,32
2020-09-04,Southside,"Not Reported",4,0
2020-09-04,Chesapeake,Female,2145,177
2020-09-04,Richmond,Female,2008,188
2020-09-04,Roanoke,Male,569,22
2020-09-04,Fairfax,"Not Reported",137,2
2020-09-04,"Thomas Jefferson",Female,1372,88
2020-09-04,Chesapeake,"Not Reported",5,0
2020-09-04,"Cumberland Plateau",Male,266,25
2020-09-04,"Eastern Shore",Female,735,69
2020-09-04,"Lord Fairfax","Not Reported",13,0
2020-09-04,Rappahannock,"Not Reported",6,1
