"Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
04/01/2020,,Female,725,,
04/01/2020,,Male,743,,
04/01/2020,,"Not Reported",16,,
04/02/2020,,Female,844,,
04/02/2020,,Male,844,,
04/02/2020,,"Not Reported",18,,
04/03/2020,,Female,988,,
04/03/2020,,Male,991,,
04/03/2020,,"Not Reported",33,,
04/04/2020,,Female,1199,,
04/04/2020,,Male,1162,,
04/04/2020,,"Not Reported",46,,
04/05/2020,,Female,1330,,
04/05/2020,,Male,1257,,
04/05/2020,,"Not Reported",50,,
04/06/2020,,Female,1467,,
04/06/2020,,Male,1360,,
04/06/2020,,"Not Reported",51,,
04/07/2020,,Female,1718,,
04/07/2020,,Male,1563,,
04/07/2020,,"Not Reported",52,,
04/08/2020,,Female,1880,,
04/08/2020,,Male,1717,,
04/08/2020,,"Not Reported",48,,
04/09/2020,,Female,2053,,
04/09/2020,,Male,1930,,
04/09/2020,,"Not Reported",59,,
04/10/2020,,Female,2289,,
04/10/2020,,Male,2163,,
04/10/2020,,"Not Reported",57,,
04/11/2020,,Female,2569,,
04/11/2020,,Male,2452,,
04/11/2020,,"Not Reported",56,,
04/12/2020,,Female,2671,,
04/12/2020,,Male,2543,,
04/12/2020,,"Not Reported",60,,
04/13/2020,,Female,2908,363,60
04/13/2020,,Male,2774,536,85
04/13/2020,,"Not Reported",65,4,4
04/14/2020,,Female,3153,394,61
04/14/2020,,Male,2951,580,89
04/14/2020,,"Not Reported",67,4,4
04/15/2020,,Female,3335,433,78
04/15/2020,,Male,3097,611,112
04/15/2020,,"Not Reported",68,4,5
04/16/2020,,Female,3542,455,86
04/16/2020,,Male,3279,655,117
04/16/2020,,"Not Reported",68,4,5
04/17/2020,,Female,3877,502,98
04/17/2020,,Male,3535,714,128
04/17/2020,,"Not Reported",79,5,5
04/18/2020,,Female,4167,535,109
04/18/2020,,Male,3807,756,142
04/18/2020,,"Not Reported",79,5,7
04/19/2020,,Female,4417,597,116
04/19/2020,,Male,4040,820,154
04/19/2020,,"Not Reported",80,5,7
04/20/2020,,Female,4662,641,127
04/20/2020,,Male,4248,854,166
04/20/2020,,"Not Reported",80,5,7
04/21/2020,Alexandria,Female,243,30,3
04/21/2020,Alexandria,Male,218,30,6
04/21/2020,Alexandria,"Not Reported",1,0,0
04/21/2020,Alleghany,Female,33,5,2
04/21/2020,Alleghany,Male,31,8,1
04/21/2020,Arlington,Female,317,49,9
04/21/2020,Arlington,Male,304,65,14
04/21/2020,Arlington,"Not Reported",4,0,0
04/21/2020,"Central Shenandoah",Female,256,9,0
04/21/2020,"Central Shenandoah",Male,181,14,1
04/21/2020,"Central Shenandoah","Not Reported",8,0,0
04/21/2020,"Central Virginia",Female,37,2,0
04/21/2020,"Central Virginia",Male,52,5,2
04/21/2020,Chesapeake,Female,100,18,3
04/21/2020,Chesapeake,Male,76,21,2
04/21/2020,Chesterfield,Female,199,13,2
04/21/2020,Chesterfield,Male,183,16,7
04/21/2020,Chesterfield,"Not Reported",8,0,0
04/21/2020,Chickahominy,Female,119,17,5
04/21/2020,Chickahominy,Male,62,17,7
04/21/2020,Chickahominy,"Not Reported",5,1,0
04/21/2020,Crater,Female,78,13,6
04/21/2020,Crater,Male,56,10,3
04/21/2020,Crater,"Not Reported",4,2,0
04/21/2020,"Cumberland Plateau",Female,12,1,0
04/21/2020,"Cumberland Plateau",Male,6,0,0
04/21/2020,"Eastern Shore",Female,23,9,1
04/21/2020,"Eastern Shore",Male,36,7,0
04/21/2020,Fairfax,Female,1036,155,29
04/21/2020,Fairfax,Male,1076,228,37
04/21/2020,Fairfax,"Not Reported",11,0,0
04/21/2020,Hampton,Female,48,9,0
04/21/2020,Hampton,Male,44,17,1
04/21/2020,Henrico,Female,347,40,36
04/21/2020,Henrico,Male,253,49,35
04/21/2020,Henrico,"Not Reported",21,1,6
04/21/2020,Lenowisco,Female,16,5,1
04/21/2020,Lenowisco,Male,16,5,1
04/21/2020,"Lord Fairfax",Female,104,9,0
04/21/2020,"Lord Fairfax",Male,97,12,0
04/21/2020,Loudoun,Female,239,19,4
04/21/2020,Loudoun,Male,226,40,4
04/21/2020,Loudoun,"Not Reported",3,0,0
