"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-18,Southside,"Not Reported",4,0,0
2020-07-18,Chesapeake,Female,915,89,12
2020-07-18,Richmond,Female,1237,114,10
2020-07-18,Roanoke,Male,284,8,3
2020-07-18,Fairfax,"Not Reported",94,2,2
2020-07-18,"Thomas Jefferson",Female,729,60,14
2020-07-18,Chesapeake,"Not Reported",3,0,0
2020-07-18,"Cumberland Plateau",Male,65,6,0
2020-07-18,"Eastern Shore",Female,666,61,23
2020-07-18,"Lord Fairfax","Not Reported",8,0,0
2020-07-18,Rappahannock,"Not Reported",7,1,0
2020-07-18,"Central Shenandoah","Not Reported",1,0,0
2020-07-18,Peninsula,Male,798,73,15
2020-07-18,Norfolk,Male,994,67,11
2020-07-18,Alexandria,Female,1315,119,30
2020-07-18,Lenowisco,Male,53,11,4
2020-07-18,Pittsylvania-Danville,Female,214,29,3
2020-07-18,"New River","Not Reported",3,0,0
2020-07-18,Chesterfield,"Not Reported",91,0,2
2020-07-18,Loudoun,Male,2267,180,39
2020-07-18,"Rappahannock Rapidan",Female,833,51,10
2020-07-18,Piedmont,Female,354,47,5
2020-07-18,Richmond,Male,1262,134,24
2020-07-18,Crater,Female,797,96,29
2020-07-18,Portsmouth,Female,481,56,12
2020-07-18,Arlington,"Not Reported",4,0,0
2020-07-18,"Mount Rogers","Not Reported",2,0,0
2020-07-18,"Thomas Jefferson","Not Reported",0,0,0
2020-07-18,"Three Rivers","Not Reported",20,0,0
2020-07-18,Hampton,Male,278,27,3
2020-07-18,Alleghany,Male,319,24,5
2020-07-18,Roanoke,Female,325,7,7
2020-07-18,Loudoun,"Not Reported",27,0,0
2020-07-18,Fairfax,Female,7583,771,256
2020-07-18,"Western Tidewater",Male,588,64,38
2020-07-18,Peninsula,"Not Reported",5,0,0
2020-07-18,"New River",Male,175,17,5
2020-07-18,"Central Shenandoah",Male,1119,94,23
2020-07-18,Southside,Male,229,30,13
2020-07-18,Chesterfield,Male,1802,102,42
2020-07-18,Arlington,Female,1340,191,66
2020-07-18,Rappahannock,Male,1317,135,27
2020-07-18,"Central Virginia",Male,293,10,4
2020-07-18,Alleghany,"Not Reported",7,0,0
2020-07-18,Henrico,Male,1368,151,83
2020-07-18,"Thomas Jefferson",Male,634,55,15
2020-07-18,"Lord Fairfax",Male,1088,107,36
2020-07-18,"Three Rivers",Male,567,25,3
2020-07-18,Richmond,"Not Reported",42,2,2
2020-07-18,Pittsylvania-Danville,Male,157,23,1
2020-07-18,Portsmouth,"Not Reported",3,0,0
2020-07-18,Norfolk,"Not Reported",1,0,0
2020-07-18,Chesapeake,Male,694,75,12
2020-07-18,Chickahominy,Female,422,58,20
2020-07-18,"Prince William",Male,5000,493,106
2020-07-18,"Eastern Shore","Not Reported",9,0,0
2020-07-18,"Eastern Shore",Male,654,55,20
2020-07-18,"Rappahannock Rapidan",Male,833,73,14
2020-07-18,Henrico,"Not Reported",14,0,0
2020-07-18,"Cumberland Plateau",Female,65,2,0
2020-07-18,"West Piedmont",Male,319,35,4
2020-07-18,Hampton,"Not Reported",3,0,0
2020-07-18,Alexandria,"Not Reported",7,0,0
2020-07-18,"Western Tidewater","Not Reported",1,0,0
2020-07-18,"Cumberland Plateau","Not Reported",0,0,0
2020-07-18,"Virginia Beach",Male,1135,74,20
2020-07-18,Alleghany,Female,368,13,10
2020-07-18,Lenowisco,Female,60,10,1
2020-07-18,"Virginia Beach","Not Reported",11,0,0
2020-07-18,"Western Tidewater",Female,658,45,30
2020-07-18,"Mount Rogers",Male,432,58,20
2020-07-18,"Lord Fairfax",Female,1202,95,44
2020-07-18,Piedmont,"Not Reported",4,0,0
2020-07-18,Alexandria,Male,1218,136,26
2020-07-18,Pittsylvania-Danville,"Not Reported",2,0,0
2020-07-18,"West Piedmont","Not Reported",4,0,0
2020-07-18,Loudoun,Female,2302,137,64
2020-07-18,Hampton,Female,364,15,1
2020-07-18,Henrico,Female,1623,131,92
2020-07-18,"Prince William","Not Reported",69,1,0
2020-07-18,Chickahominy,Male,350,56,20
2020-07-18,"Rappahannock Rapidan","Not Reported",7,1,1
2020-07-18,Peninsula,Female,944,71,23
2020-07-18,Lenowisco,"Not Reported",0,0,0
2020-07-18,Crater,"Not Reported",15,1,0
2020-07-18,Chickahominy,"Not Reported",4,0,0
2020-07-18,Portsmouth,Male,441,40,8
2020-07-18,"New River",Female,157,8,1
2020-07-18,Rappahannock,Female,1482,120,19
2020-07-18,"Central Virginia",Female,283,7,2
2020-07-18,Roanoke,"Not Reported",12,0,0
2020-07-18,"West Piedmont",Female,376,43,4
2020-07-18,"Mount Rogers",Female,501,31,16
2020-07-18,Piedmont,Male,803,67,14
2020-07-18,Chesterfield,Female,1799,104,44
2020-07-18,Fairfax,Male,7248,1035,264
2020-07-18,Crater,Male,1014,89,21
2020-07-18,"Central Virginia","Not Reported",0,0,0
2020-07-18,"Prince William",Female,5026,389,82
2020-07-18,"Virginia Beach",Female,1318,70,16
2020-07-18,Norfolk,Female,1139,71,8
2020-07-18,"Three Rivers",Female,255,36,8
2020-07-18,Arlington,Male,1382,236,69
2020-07-18,"Central Shenandoah",Female,1288,97,25
2020-07-18,Southside,Female,288,30,19
