Date,Office,Custody/AOR/Facility,Confirmed cases currently under isolation or monitoring,Detainee deaths3,Total confirmed COVID-19 cases
2021-04-05,Washington D.C. Field Office,Caroline Detention Facility,3,0,74
2021-04-05,Washington D.C. Field Office,Immigration Centers of America - Farmville,0,1,339
