Date,Office,Custody/AOR/Facility,Confirmed cases currently under isolation or monitoring,Detainee deaths3,Total confirmed COVID-19 cases
2021-03-04,Washington D.C. Field Office,Caroline Detention Facility,8,0,73
2021-03-04,Washington D.C. Field Office,Immigration Centers of America - Farmville,0,1,339
