"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
5/25/2020,20105,72,652
5/25/2020,20106,28,107
5/25/2020,20109,737,2235
5/25/2020,20110,933,2580
5/25/2020,20111,608,1817
5/25/2020,20112,132,886
5/25/2020,20115,27,154
5/25/2020,20117,7,64
5/25/2020,20118,Suppressed*,35
5/25/2020,20119,21,119
5/25/2020,20120,210,1044
5/25/2020,20121,153,735
5/25/2020,20124,40,318
5/25/2020,20129,7,29
5/25/2020,20130,0,7
5/25/2020,20132,39,388
5/25/2020,20135,5,77
5/25/2020,20136,123,736
5/25/2020,20137,5,41
5/25/2020,20139,Suppressed*,7
5/25/2020,20141,12,161
5/25/2020,20143,Suppressed*,25
5/25/2020,20144,Suppressed*,18
5/25/2020,20147,266,1810
5/25/2020,20148,101,987
5/25/2020,20151,174,633
5/25/2020,20152,128,644
5/25/2020,20155,161,976
5/25/2020,20158,11,89
5/25/2020,20164,636,1869
5/25/2020,20165,167,975
5/25/2020,20166,97,481
5/25/2020,20169,72,585
5/25/2020,20170,593,1648
5/25/2020,20171,216,935
5/25/2020,20175,112,805
5/25/2020,20176,327,1518
5/25/2020,20180,11,173
5/25/2020,20181,29,267
5/25/2020,20184,Suppressed*,33
5/25/2020,20186,52,425
5/25/2020,20187,47,407
5/25/2020,20190,153,729
5/25/2020,20191,216,906
5/25/2020,20194,27,263
5/25/2020,20197,Suppressed*,52
5/25/2020,20198,Suppressed*,43
5/25/2020,22003,852,2446
5/25/2020,22015,299,1167
5/25/2020,22025,82,549
5/25/2020,22026,143,726
5/25/2020,22027,41,82
5/25/2020,22030,274,1443
5/25/2020,22031,261,1121
5/25/2020,22032,101,692
5/25/2020,22033,177,950
5/25/2020,22035,0,6
5/25/2020,22039,49,396
5/25/2020,22041,545,1596
5/25/2020,22042,530,1546
5/25/2020,22043,171,671
5/25/2020,22044,191,548
5/25/2020,22046,132,541
5/25/2020,22060,13,103
5/25/2020,22066,51,413
5/25/2020,22079,225,1078
5/25/2020,22101,96,860
5/25/2020,22102,88,708
5/25/2020,22124,42,386
5/25/2020,22125,Suppressed*,31
5/25/2020,22134,14,60
5/25/2020,22150,582,1609
5/25/2020,22151,206,679
5/25/2020,22152,151,735
5/25/2020,22153,117,744
5/25/2020,22172,103,417
5/25/2020,22180,143,702
5/25/2020,22181,40,314
5/25/2020,22182,86,631
5/25/2020,22191,1065,3891
5/25/2020,22192,455,2384
5/25/2020,22193,1008,3841
5/25/2020,22201,174,1037
5/25/2020,22202,164,724
5/25/2020,22203,258,898
5/25/2020,22204,745,2270
5/25/2020,22205,108,783
5/25/2020,22206,141,670
5/25/2020,22207,215,1071
5/25/2020,22209,62,388
5/25/2020,22211,Suppressed*,14
5/25/2020,22213,14,83
5/25/2020,22214,0,2
5/25/2020,22301,60,424
5/25/2020,22302,179,641
5/25/2020,22303,137,590
5/25/2020,22304,521,1922
5/25/2020,22305,493,1191
5/25/2020,22306,625,1665
5/25/2020,22307,48,328
5/25/2020,22308,55,269
5/25/2020,22309,444,1371
5/25/2020,22310,211,881
5/25/2020,22311,330,967
5/25/2020,22312,373,1229
5/25/2020,22314,157,1022
5/25/2020,22315,78,626
5/25/2020,22401,112,737
5/25/2020,22405,86,824
5/25/2020,22406,63,649
5/25/2020,22407,257,1670
5/25/2020,22408,80,733
5/25/2020,22427,Suppressed*,70
5/25/2020,22432,Suppressed*,18
5/25/2020,22433,Suppressed*,6
5/25/2020,22435,Suppressed*,59
5/25/2020,22436,0,12
5/25/2020,22437,Suppressed*,18
5/25/2020,22438,Suppressed*,7
5/25/2020,22443,13,178
5/25/2020,22448,Suppressed*,22
5/25/2020,22454,Suppressed*,36
5/25/2020,22460,Suppressed*,27
5/25/2020,22469,8,49
5/25/2020,22473,13,127
5/25/2020,22476,Suppressed*,6
5/25/2020,22480,0,25
5/25/2020,22482,Suppressed*,89
5/25/2020,22485,55,608
5/25/2020,22488,Suppressed*,26
5/25/2020,22503,5,132
5/25/2020,22504,0,6
5/25/2020,22508,34,373
5/25/2020,22509,Suppressed*,1
5/25/2020,22511,Suppressed*,26
5/25/2020,22514,Suppressed*,32
5/25/2020,22520,27,133
5/25/2020,22529,0,7
5/25/2020,22530,0,2
5/25/2020,22534,Suppressed*,48
5/25/2020,22535,0,14
5/25/2020,22538,0,8
5/25/2020,22539,Suppressed*,57
5/25/2020,22542,Suppressed*,45
5/25/2020,22546,28,311
5/25/2020,22548,0,3
5/25/2020,22551,60,506
5/25/2020,22553,22,347
5/25/2020,22554,300,1648
5/25/2020,22556,138,774
5/25/2020,22560,33,183
5/25/2020,22567,5,94
5/25/2020,22572,262,495
5/25/2020,22576,0,36
5/25/2020,22578,Suppressed*,48
5/25/2020,22579,Suppressed*,4
5/25/2020,22580,7,107
5/25/2020,22601,147,329
5/25/2020,22602,107,234
5/25/2020,22603,47,118
5/25/2020,22610,7,15
5/25/2020,22611,12,96
5/25/2020,22620,Suppressed*,26
5/25/2020,22623,Suppressed*,0
5/25/2020,22624,Suppressed*,11
5/25/2020,22625,6,16
5/25/2020,22627,0,11
5/25/2020,22630,93,215
5/25/2020,22637,Suppressed*,7
5/25/2020,22639,0,6
5/25/2020,22640,Suppressed*,6
5/25/2020,22641,0,1
5/25/2020,22642,16,56
5/25/2020,22643,0,5
5/25/2020,22644,44,40
5/25/2020,22645,16,32
5/25/2020,22646,0,4
5/25/2020,22650,Suppressed*,13
5/25/2020,22652,Suppressed*,16
5/25/2020,22654,Suppressed*,5
5/25/2020,22655,71,144
5/25/2020,22656,11,40
5/25/2020,22657,39,103
5/25/2020,22660,7,10
5/25/2020,22663,5,10
5/25/2020,22664,124,145
5/25/2020,22701,519,1288
5/25/2020,22709,0,23
5/25/2020,22711,0,1
5/25/2020,22712,74,320
5/25/2020,22713,6,31
5/25/2020,22714,15,39
5/25/2020,22715,Suppressed*,21
5/25/2020,22716,Suppressed*,10
5/25/2020,22718,Suppressed*,13
5/25/2020,22719,0,5
5/25/2020,22720,0,18
5/25/2020,22722,0,1
5/25/2020,22723,0,3
5/25/2020,22724,10,52
5/25/2020,22726,22,78
5/25/2020,22727,18,141
5/25/2020,22728,7,66
5/25/2020,22729,Suppressed*,11
5/25/2020,22730,0,2
5/25/2020,22731,Suppressed*,8
5/25/2020,22732,Suppressed*,8
5/25/2020,22733,12,43
5/25/2020,22734,20,105
5/25/2020,22735,Suppressed*,43
5/25/2020,22736,Suppressed*,15
5/25/2020,22737,5,60
5/25/2020,22738,Suppressed*,26
5/25/2020,22740,Suppressed*,28
5/25/2020,22741,0,5
5/25/2020,22742,15,61
5/25/2020,22743,0,2
5/25/2020,22747,0,18
5/25/2020,22749,0,4
5/25/2020,22801,524,1298
5/25/2020,22802,411,1176
5/25/2020,22807,Suppressed*,3
5/25/2020,22810,Suppressed*,16
5/25/2020,22811,Suppressed*,19
5/25/2020,22812,17,207
5/25/2020,22815,59,234
5/25/2020,22820,0,2
5/25/2020,22821,17,120
5/25/2020,22824,55,78
5/25/2020,22827,45,301
5/25/2020,22830,14,43
5/25/2020,22831,Suppressed*,19
5/25/2020,22832,Suppressed*,20
5/25/2020,22834,Suppressed*,26
5/25/2020,22835,128,325
5/25/2020,22840,8,92
5/25/2020,22841,12,67
5/25/2020,22842,52,106
5/25/2020,22843,Suppressed*,40
5/25/2020,22844,31,116
5/25/2020,22845,0,3
5/25/2020,22846,6,53
5/25/2020,22847,Suppressed*,14
5/25/2020,22849,12,110
5/25/2020,22850,6,30
5/25/2020,22851,53,123
5/25/2020,22853,41,138
5/25/2020,22901,97,1184
5/25/2020,22902,33,705
5/25/2020,22903,51,885
5/25/2020,22904,0,6
5/25/2020,22911,16,516
5/25/2020,22920,Suppressed*,65
5/25/2020,22922,Suppressed*,53
5/25/2020,22923,9,127
5/25/2020,22931,0,9
5/25/2020,22932,13,220
5/25/2020,22935,Suppressed*,28
5/25/2020,22936,Suppressed*,115
5/25/2020,22937,Suppressed*,43
5/25/2020,22938,Suppressed*,28
5/25/2020,22939,5,90
5/25/2020,22940,Suppressed*,24
5/25/2020,22942,8,311
5/25/2020,22943,0,12
5/25/2020,22946,Suppressed*,5
5/25/2020,22947,Suppressed*,106
5/25/2020,22948,0,3
5/25/2020,22949,0,43
5/25/2020,22952,0,41
5/25/2020,22958,Suppressed*,37
5/25/2020,22959,Suppressed*,67
5/25/2020,22960,27,366
5/25/2020,22963,24,466
5/25/2020,22964,0,4
5/25/2020,22967,Suppressed*,30
5/25/2020,22968,11,282
5/25/2020,22969,Suppressed*,38
5/25/2020,22971,0,45
5/25/2020,22972,Suppressed*,17
5/25/2020,22973,7,193
5/25/2020,22974,5,145
5/25/2020,22976,0,9
5/25/2020,22980,44,599
5/25/2020,22989,0,4
5/25/2020,23002,19,328
5/25/2020,23004,10,50
5/25/2020,23005,48,464
5/25/2020,23009,16,154
5/25/2020,23011,Suppressed*,25
5/25/2020,23015,11,102
5/25/2020,23021,0,6
5/25/2020,23022,7,44
5/25/2020,23023,Suppressed*,5
5/25/2020,23024,25,195
5/25/2020,23025,0,9
5/25/2020,23027,Suppressed*,45
5/25/2020,23030,17,144
5/25/2020,23032,0,3
5/25/2020,23035,Suppressed*,21
5/25/2020,23038,8,50
5/25/2020,23039,Suppressed*,29
5/25/2020,23040,8,131
5/25/2020,23043,Suppressed*,20
5/25/2020,23045,0,2
5/25/2020,23047,5,33
5/25/2020,23050,Suppressed*,10
5/25/2020,23055,38,65
5/25/2020,23056,0,0
5/25/2020,23059,45,672
5/25/2020,23060,104,877
