"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/15/2020,20105,139,2164
7/15/2020,20106,47,322
7/15/2020,20109,1242,5503
7/15/2020,20110,1598,7511
7/15/2020,20111,1018,4536
7/15/2020,20112,257,2456
7/15/2020,20115,40,462
7/15/2020,20117,11,183
7/15/2020,20118,Suppressed*,141
7/15/2020,20119,33,317
7/15/2020,20120,378,3126
7/15/2020,20121,269,2047
7/15/2020,20124,77,1104
7/15/2020,20129,11,82
7/15/2020,20130,0,26
7/15/2020,20132,86,1521
7/15/2020,20135,12,245
7/15/2020,20136,234,2142
7/15/2020,20137,15,155
7/15/2020,20139,Suppressed*,17
7/15/2020,20141,30,566
7/15/2020,20143,5,96
7/15/2020,20144,Suppressed*,55
7/15/2020,20147,529,5998
7/15/2020,20148,254,3474
7/15/2020,20151,309,1943
7/15/2020,20152,245,2526
7/15/2020,20155,293,3165
7/15/2020,20158,26,387
7/15/2020,20164,1286,5698
7/15/2020,20165,355,4176
7/15/2020,20166,225,1409
7/15/2020,20169,117,1822
7/15/2020,20170,1096,4721
7/15/2020,20171,321,3127
7/15/2020,20175,297,3426
7/15/2020,20176,872,6028
7/15/2020,20180,39,652
7/15/2020,20181,53,780
7/15/2020,20184,5,72
7/15/2020,20186,101,1662
7/15/2020,20187,103,1287
7/15/2020,20190,220,2320
7/15/2020,20191,337,2397
7/15/2020,20194,37,808
7/15/2020,20197,13,226
7/15/2020,20198,7,154
7/15/2020,22003,1330,6519
7/15/2020,22015,402,3257
7/15/2020,22025,127,1440
7/15/2020,22026,276,2017
7/15/2020,22027,60,219
7/15/2020,22030,435,4654
7/15/2020,22031,438,3491
7/15/2020,22032,146,2068
7/15/2020,22033,282,2980
7/15/2020,22035,Suppressed*,39
7/15/2020,22039,90,1292
7/15/2020,22041,763,3769
7/15/2020,22042,853,4175
7/15/2020,22043,264,1833
7/15/2020,22044,279,1487
7/15/2020,22046,214,1781
7/15/2020,22060,28,314
7/15/2020,22066,88,1211
7/15/2020,22079,356,2683
7/15/2020,22101,141,2696
7/15/2020,22102,134,1937
7/15/2020,22124,70,1276
7/15/2020,22125,Suppressed*,79
7/15/2020,22134,23,173
7/15/2020,22150,796,4361
7/15/2020,22151,292,1685
7/15/2020,22152,235,2123
7/15/2020,22153,193,2240
7/15/2020,22172,182,1083
7/15/2020,22180,237,2106
7/15/2020,22181,73,1034
7/15/2020,22182,135,1941
7/15/2020,22185,0,Suppressed*
7/15/2020,22191,1816,9780
7/15/2020,22192,818,6858
7/15/2020,22193,1654,9429
7/15/2020,22201,229,3068
7/15/2020,22202,229,2333
7/15/2020,22203,351,2525
7/15/2020,22204,1079,6313
7/15/2020,22205,147,1952
7/15/2020,22206,196,1962
7/15/2020,22207,321,3383
7/15/2020,22209,94,1151
7/15/2020,22211,Suppressed*,21
7/15/2020,22213,19,263
7/15/2020,22214,0,Suppressed*
7/15/2020,22301,94,1269
7/15/2020,22302,258,2909
7/15/2020,22303,231,1413
7/15/2020,22304,732,5382
7/15/2020,22305,610,2618
7/15/2020,22306,934,4028
7/15/2020,22307,83,948
7/15/2020,22308,77,846
7/15/2020,22309,700,3240
7/15/2020,22310,306,2310
7/15/2020,22311,486,2720
7/15/2020,22312,634,3271
7/15/2020,22314,229,2958
7/15/2020,22315,128,1987
7/15/2020,22401,276,2906
7/15/2020,22405,165,2512
7/15/2020,22406,140,2055
7/15/2020,22407,666,6164
7/15/2020,22408,237,2462
7/15/2020,22427,15,709
7/15/2020,22432,Suppressed*,59
7/15/2020,22433,Suppressed*,11
7/15/2020,22435,12,249
7/15/2020,22436,0,60
7/15/2020,22437,Suppressed*,87
7/15/2020,22438,Suppressed*,55
7/15/2020,22443,38,652
7/15/2020,22448,Suppressed*,69
7/15/2020,22454,Suppressed*,135
7/15/2020,22460,8,179
7/15/2020,22469,44,265
7/15/2020,22473,23,565
7/15/2020,22476,Suppressed*,26
7/15/2020,22480,0,333
7/15/2020,22482,8,402
7/15/2020,22485,102,1852
7/15/2020,22488,58,221
7/15/2020,22503,9,388
7/15/2020,22504,0,22
7/15/2020,22508,65,1108
7/15/2020,22509,Suppressed*,7
7/15/2020,22511,5,127
7/15/2020,22514,17,206
7/15/2020,22520,45,673
7/15/2020,22529,Suppressed*,26
7/15/2020,22530,0,6
7/15/2020,22534,6,190
7/15/2020,22535,Suppressed*,43
7/15/2020,22538,0,20
7/15/2020,22539,5,227
7/15/2020,22542,9,160
