"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-07-19,20105,143,2255
2020-07-19,20106,49,343
2020-07-19,20109,1266,5735
2020-07-19,20110,1626,7887
2020-07-19,20111,1035,4758
2020-07-19,20112,264,2601
2020-07-19,20115,40,491
2020-07-19,20117,11,192
2020-07-19,20118,5,152
2020-07-19,20119,35,334
2020-07-19,20120,392,3306
2020-07-19,20121,272,2164
2020-07-19,20124,79,1174
2020-07-19,20129,11,87
2020-07-19,20130,0,27
2020-07-19,20132,89,1604
2020-07-19,20135,12,259
2020-07-19,20136,250,2315
2020-07-19,20137,15,165
2020-07-19,20139,Suppressed*,18
2020-07-19,20141,33,607
2020-07-19,20143,5,99
2020-07-19,20144,Suppressed*,58
2020-07-19,20147,548,6370
2020-07-19,20148,268,3751
2020-07-19,20151,314,2049
2020-07-19,20152,245,2669
2020-07-19,20155,309,3342
2020-07-19,20158,27,410
2020-07-19,20164,1308,5894
2020-07-19,20165,367,4453
2020-07-19,20166,229,1484
2020-07-19,20169,119,1933
2020-07-19,20170,1100,4934
2020-07-19,20171,328,3278
2020-07-19,20175,302,3590
2020-07-19,20176,904,6356
2020-07-19,20180,39,695
2020-07-19,20181,54,819
2020-07-19,20184,Suppressed*,79
2020-07-19,20186,108,1713
2020-07-19,20187,115,1342
2020-07-19,20190,227,2508
2020-07-19,20191,334,2523
2020-07-19,20194,42,861
2020-07-19,20197,14,238
2020-07-19,20198,8,162
2020-07-19,22003,1346,6804
2020-07-19,22015,425,3462
2020-07-19,22025,129,1530
2020-07-19,22026,284,2141
2020-07-19,22027,59,235
2020-07-19,22030,455,5002
2020-07-19,22031,441,3818
2020-07-19,22032,151,2177
2020-07-19,22033,296,3156
2020-07-19,22035,Suppressed*,40
2020-07-19,22039,93,1385
2020-07-19,22041,777,3894
2020-07-19,22042,865,4349
2020-07-19,22043,265,1925
2020-07-19,22044,281,1551
2020-07-19,22046,217,1876
2020-07-19,22060,30,346
2020-07-19,22066,89,1279
2020-07-19,22079,364,2824
2020-07-19,22101,149,2800
2020-07-19,22102,143,2054
2020-07-19,22124,72,1350
2020-07-19,22125,Suppressed*,81
2020-07-19,22134,23,186
2020-07-19,22150,801,4500
2020-07-19,22151,299,1761
2020-07-19,22152,238,2242
2020-07-19,22153,206,2375
2020-07-19,22172,188,1153
2020-07-19,22180,241,2231
2020-07-19,22181,77,1124
2020-07-19,22182,143,2069
2020-07-19,22185,0,Suppressed*
2020-07-19,22191,1862,10316
2020-07-19,22192,857,7249
2020-07-19,22193,1682,9905
2020-07-19,22201,235,3281
2020-07-19,22202,235,2518
2020-07-19,22203,352,2672
2020-07-19,22204,1103,6623
2020-07-19,22205,153,2058
2020-07-19,22206,199,2084
2020-07-19,22207,327,3730
2020-07-19,22209,93,1228
2020-07-19,22211,Suppressed*,21
2020-07-19,22213,20,275
2020-07-19,22214,0,Suppressed*
2020-07-19,22301,96,1357
2020-07-19,22302,260,3016
2020-07-19,22303,237,1497
2020-07-19,22304,761,5689
2020-07-19,22305,620,2742
2020-07-19,22306,940,4199
2020-07-19,22307,86,996
2020-07-19,22308,80,897
2020-07-19,22309,711,3391
2020-07-19,22310,306,2430
2020-07-19,22311,493,2814
2020-07-19,22312,649,3435
2020-07-19,22314,233,3142
2020-07-19,22315,135,2102
2020-07-19,22401,285,3054
2020-07-19,22405,171,2652
2020-07-19,22406,146,2190
2020-07-19,22407,690,6484
2020-07-19,22408,251,2577
2020-07-19,22427,17,741
2020-07-19,22432,Suppressed*,70
2020-07-19,22433,Suppressed*,12
2020-07-19,22435,13,288
2020-07-19,22436,Suppressed*,64
2020-07-19,22437,Suppressed*,90
2020-07-19,22438,5,60
2020-07-19,22443,39,740
2020-07-19,22448,Suppressed*,78
2020-07-19,22454,Suppressed*,140
2020-07-19,22460,8,200
2020-07-19,22469,44,286
2020-07-19,22473,23,607
2020-07-19,22476,Suppressed*,29
2020-07-19,22480,0,341
2020-07-19,22482,8,440
2020-07-19,22485,103,1966
2020-07-19,22488,56,234
2020-07-19,22503,9,419
2020-07-19,22504,0,25
2020-07-19,22508,71,1193
2020-07-19,22509,Suppressed*,8
2020-07-19,22511,6,138
2020-07-19,22514,17,220
2020-07-19,22520,47,719
2020-07-19,22529,Suppressed*,26
2020-07-19,22530,0,6
