"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/21/2020,20105,147,2345
7/21/2020,20106,49,351
7/21/2020,20109,1267,5815
7/21/2020,20110,1632,8003
7/21/2020,20111,1048,4850
7/21/2020,20112,269,2659
7/21/2020,20115,41,508
7/21/2020,20117,11,199
7/21/2020,20118,5,159
7/21/2020,20119,35,348
7/21/2020,20120,396,3412
7/21/2020,20121,273,2203
7/21/2020,20124,81,1215
7/21/2020,20129,11,90
7/21/2020,20130,0,28
7/21/2020,20132,89,1661
7/21/2020,20135,12,269
7/21/2020,20136,253,2381
7/21/2020,20137,15,167
7/21/2020,20139,Suppressed*,19
7/21/2020,20141,33,639
7/21/2020,20143,5,99
7/21/2020,20144,Suppressed*,61
7/21/2020,20147,556,6626
7/21/2020,20148,271,3889
7/21/2020,20151,315,2104
7/21/2020,20152,250,2741
7/21/2020,20155,310,3426
7/21/2020,20158,27,431
7/21/2020,20164,1319,6014
7/21/2020,20165,373,4579
7/21/2020,20166,231,1511
7/21/2020,20169,122,1982
7/21/2020,20170,1105,5044
7/21/2020,20171,330,3393
7/21/2020,20175,302,3693
7/21/2020,20176,913,6497
7/21/2020,20180,39,718
7/21/2020,20181,54,836
7/21/2020,20184,Suppressed*,84
7/21/2020,20186,109,1765
7/21/2020,20187,117,1382
7/21/2020,20190,226,2580
7/21/2020,20191,336,2615
7/21/2020,20194,43,891
7/21/2020,20197,14,247
7/21/2020,20198,8,166
7/21/2020,22003,1361,6960
7/21/2020,22015,430,3574
7/21/2020,22025,132,1571
7/21/2020,22026,286,2194
7/21/2020,22027,59,240
7/21/2020,22030,455,5131
7/21/2020,22031,444,3916
7/21/2020,22032,152,2265
7/21/2020,22033,307,3265
7/21/2020,22035,Suppressed*,40
7/21/2020,22039,99,1435
7/21/2020,22041,777,3958
7/21/2020,22042,876,4477
7/21/2020,22043,273,1985
7/21/2020,22044,282,1600
7/21/2020,22046,216,1939
7/21/2020,22060,31,357
7/21/2020,22066,91,1324
7/21/2020,22079,372,2914
7/21/2020,22101,149,3188
