"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
2020-06-02,20105,84,910
2020-06-02,20106,30,138
2020-06-02,20109,924,2931
2020-06-02,20110,1210,3724
2020-06-02,20111,746,2315
2020-06-02,20112,168,1145
2020-06-02,20115,33,198
2020-06-02,20117,7,78
2020-06-02,20118,Suppressed*,51
2020-06-02,20119,21,144
2020-06-02,20120,255,1362
2020-06-02,20121,189,922
2020-06-02,20124,52,425
2020-06-02,20129,7,31
2020-06-02,20130,0,8
2020-06-02,20132,47,465
2020-06-02,20135,5,94
2020-06-02,20136,153,971
2020-06-02,20137,12,57
2020-06-02,20139,Suppressed*,9
2020-06-02,20141,14,183
2020-06-02,20143,Suppressed*,37
2020-06-02,20144,Suppressed*,22
2020-06-02,20147,301,2208
2020-06-02,20148,136,1194
2020-06-02,20151,230,915
2020-06-02,20152,136,1131
2020-06-02,20155,200,1399
2020-06-02,20158,12,114
2020-06-02,20164,819,2651
2020-06-02,20165,217,1422
2020-06-02,20166,122,637
2020-06-02,20169,84,796
2020-06-02,20170,767,2262
2020-06-02,20171,241,1210
2020-06-02,20175,155,1192
2020-06-02,20176,484,2085
2020-06-02,20180,17,211
2020-06-02,20181,34,330
2020-06-02,20184,Suppressed*,35
2020-06-02,20186,57,657
2020-06-02,20187,60,522
2020-06-02,20190,187,1198
2020-06-02,20191,252,1124
2020-06-02,20194,30,340
2020-06-02,20197,5,73
2020-06-02,20198,6,51
2020-06-02,22003,1062,3541
2020-06-02,22015,340,1566
2020-06-02,22025,99,700
2020-06-02,22026,188,943
2020-06-02,22027,42,111
2020-06-02,22030,341,2229
2020-06-02,22031,331,1792
2020-06-02,22032,113,889
2020-06-02,22033,215,1306
2020-06-02,22035,Suppressed*,11
2020-06-02,22039,53,495
2020-06-02,22041,635,2437
2020-06-02,22042,650,2145
2020-06-02,22043,192,844
2020-06-02,22044,226,786
2020-06-02,22046,170,872
2020-06-02,22060,13,142
2020-06-02,22066,65,502
2020-06-02,22079,268,1383
2020-06-02,22101,115,1324
2020-06-02,22102,95,882
2020-06-02,22124,52,509
2020-06-02,22125,Suppressed*,36
2020-06-02,22134,16,70
2020-06-02,22150,672,2529
2020-06-02,22151,249,886
2020-06-02,22152,170,967
2020-06-02,22153,132,961
2020-06-02,22172,127,523
2020-06-02,22180,175,909
2020-06-02,22181,50,377
2020-06-02,22182,95,802
2020-06-02,22191,1309,5141
2020-06-02,22192,546,3250
2020-06-02,22193,1210,4926
2020-06-02,22201,189,1300
2020-06-02,22202,175,923
2020-06-02,22203,285,1164
2020-06-02,22204,864,3286
2020-06-02,22205,118,993
2020-06-02,22206,149,909
2020-06-02,22207,243,1379
2020-06-02,22209,74,501
2020-06-02,22211,Suppressed*,15
2020-06-02,22213,16,112
2020-06-02,22214,0,2
2020-06-02,22301,67,624
2020-06-02,22302,201,1245
2020-06-02,22303,175,762
2020-06-02,22304,585,3091
2020-06-02,22305,553,1770
2020-06-02,22306,740,2361
2020-06-02,22307,61,417
2020-06-02,22308,60,341
2020-06-02,22309,530,1729
2020-06-02,22310,257,1147
2020-06-02,22311,393,1505
2020-06-02,22312,464,1773
2020-06-02,22314,168,1470
2020-06-02,22315,91,829
2020-06-02,22401,150,1164
2020-06-02,22405,107,1030
2020-06-02,22406,79,821
2020-06-02,22407,360,2093
2020-06-02,22408,125,978
2020-06-02,22427,7,82
2020-06-02,22432,Suppressed*,24
2020-06-02,22433,Suppressed*,7
2020-06-02,22435,Suppressed*,70
2020-06-02,22436,0,15
2020-06-02,22437,Suppressed*,22
2020-06-02,22438,Suppressed*,8
2020-06-02,22443,23,221
2020-06-02,22448,Suppressed*,23
2020-06-02,22454,Suppressed*,37
2020-06-02,22460,Suppressed*,43
2020-06-02,22469,9,61
2020-06-02,22473,18,159
2020-06-02,22476,Suppressed*,6
2020-06-02,22480,0,29
2020-06-02,22482,Suppressed*,99
2020-06-02,22485,68,749
2020-06-02,22488,Suppressed*,31
2020-06-02,22503,5,154
2020-06-02,22504,0,7
2020-06-02,22508,45,471
2020-06-02,22509,Suppressed*,1
2020-06-02,22511,5,29
2020-06-02,22514,7,56
2020-06-02,22520,32,162
2020-06-02,22529,Suppressed*,8
2020-06-02,22530,0,2
2020-06-02,22534,Suppressed*,62
2020-06-02,22535,Suppressed*,18
2020-06-02,22538,0,9
2020-06-02,22539,Suppressed*,65
2020-06-02,22542,5,76
2020-06-02,22546,42,408
2020-06-02,22548,0,3
2020-06-02,22551,68,604
2020-06-02,22553,34,459
2020-06-02,22554,357,2014
2020-06-02,22556,178,989
2020-06-02,22560,35,476
2020-06-02,22567,6,117
2020-06-02,22572,276,550
2020-06-02,22576,0,43
2020-06-02,22578,Suppressed*,55
2020-06-02,22579,Suppressed*,7
2020-06-02,22580,12,138
2020-06-02,22601,205,7186
2020-06-02,22602,136,318
2020-06-02,22603,77,194
2020-06-02,22610,8,19
2020-06-02,22611,13,113
2020-06-02,22620,7,38
2020-06-02,22623,Suppressed*,2
2020-06-02,22624,Suppressed*,15
2020-06-02,22625,6,22
2020-06-02,22627,0,14
2020-06-02,22630,137,506
2020-06-02,22637,Suppressed*,12
2020-06-02,22639,0,9
2020-06-02,22640,Suppressed*,7
2020-06-02,22641,0,1
2020-06-02,22642,19,70
2020-06-02,22643,0,8
2020-06-02,22644,46,45
2020-06-02,22645,19,43
2020-06-02,22646,0,6
2020-06-02,22650,6,13
2020-06-02,22652,6,16
2020-06-02,22654,Suppressed*,5
2020-06-02,22655,92,192
2020-06-02,22656,18,51
2020-06-02,22657,45,139
2020-06-02,22660,10,14
2020-06-02,22663,8,12
2020-06-02,22664,167,500
2020-06-02,22701,622,1965
2020-06-02,22709,Suppressed*,31
2020-06-02,22711,0,2
2020-06-02,22712,82,426
2020-06-02,22713,6,36
2020-06-02,22714,15,48
2020-06-02,22715,Suppressed*,38
2020-06-02,22716,Suppressed*,19
2020-06-02,22718,Suppressed*,14
2020-06-02,22719,0,8
2020-06-02,22720,0,24
2020-06-02,22722,0,3
2020-06-02,22723,0,4
2020-06-02,22724,12,69
2020-06-02,22726,22,86
2020-06-02,22727,18,194
2020-06-02,22728,7,95
2020-06-02,22729,Suppressed*,12
2020-06-02,22730,Suppressed*,3
2020-06-02,22731,Suppressed*,9
2020-06-02,22732,Suppressed*,12
2020-06-02,22733,17,58
2020-06-02,22734,21,133
2020-06-02,22735,Suppressed*,58
2020-06-02,22736,Suppressed*,18
2020-06-02,22737,6,81
2020-06-02,22738,Suppressed*,30
2020-06-02,22740,Suppressed*,36
2020-06-02,22741,0,6
2020-06-02,22742,16,78
2020-06-02,22743,0,2
2020-06-02,22747,Suppressed*,25
2020-06-02,22749,0,7
2020-06-02,22801,559,1732
2020-06-02,22802,461,1477
2020-06-02,22807,Suppressed*,4
2020-06-02,22810,Suppressed*,20
2020-06-02,22811,Suppressed*,21
2020-06-02,22812,24,270
2020-06-02,22815,70,290
2020-06-02,22820,0,2
2020-06-02,22821,19,155
2020-06-02,22824,68,87
2020-06-02,22827,59,392
2020-06-02,22830,16,58
2020-06-02,22831,Suppressed*,29
2020-06-02,22832,Suppressed*,29
2020-06-02,22834,Suppressed*,41
2020-06-02,22835,140,438
2020-06-02,22840,15,133
2020-06-02,22841,15,89
2020-06-02,22842,58,128
2020-06-02,22843,Suppressed*,46
2020-06-02,22844,40,144
2020-06-02,22845,0,4
2020-06-02,22846,8,66
2020-06-02,22847,Suppressed*,17
2020-06-02,22849,22,146
2020-06-02,22850,6,38
2020-06-02,22851,62,151
2020-06-02,22853,51,174
2020-06-02,22901,120,1609
2020-06-02,22902,62,933
2020-06-02,22903,71,1500
2020-06-02,22904,0,6
2020-06-02,22911,30,709
2020-06-02,22920,Suppressed*,93
2020-06-02,22922,6,65
2020-06-02,22923,11,166
2020-06-02,22931,0,9
2020-06-02,22932,18,277
2020-06-02,22935,Suppressed*,34
2020-06-02,22936,Suppressed*,149
2020-06-02,22937,Suppressed*,52
2020-06-02,22938,Suppressed*,48
2020-06-02,22939,7,180
2020-06-02,22940,Suppressed*,35
2020-06-02,22942,12,385
2020-06-02,22943,0,18
2020-06-02,22946,Suppressed*,8
2020-06-02,22947,Suppressed*,145
2020-06-02,22948,0,4
2020-06-02,22949,0,55
2020-06-02,22952,Suppressed*,56
2020-06-02,22958,Suppressed*,49
2020-06-02,22959,6,79
2020-06-02,22960,34,456
2020-06-02,22963,28,559
