"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/14/2020,20105,136,2125
7/14/2020,20106,47,319
7/14/2020,20109,1239,5436
7/14/2020,20110,1595,7457
7/14/2020,20111,1012,4477
7/14/2020,20112,255,2418
7/14/2020,20115,40,455
7/14/2020,20117,11,180
7/14/2020,20118,Suppressed*,140
7/14/2020,20119,33,315
7/14/2020,20120,375,3059
7/14/2020,20121,267,2003
7/14/2020,20124,77,1084
7/14/2020,20129,11,81
7/14/2020,20130,0,24
7/14/2020,20132,86,1495
7/14/2020,20135,12,243
7/14/2020,20136,230,2110
7/14/2020,20137,15,152
7/14/2020,20139,Suppressed*,17
7/14/2020,20141,30,550
7/14/2020,20143,5,95
7/14/2020,20144,Suppressed*,54
7/14/2020,20147,523,5807
7/14/2020,20148,253,3393
7/14/2020,20151,309,1910
7/14/2020,20152,244,2490
7/14/2020,20155,291,3118
7/14/2020,20158,26,385
7/14/2020,20164,1281,5640
7/14/2020,20165,354,4129
7/14/2020,20166,221,1382
7/14/2020,20169,115,1782
7/14/2020,20170,1088,4670
7/14/2020,20171,316,3056
7/14/2020,20175,292,3383
7/14/2020,20176,841,5910
7/14/2020,20180,37,637
7/14/2020,20181,53,771
7/14/2020,20184,Suppressed*,71
7/14/2020,20186,101,1640
7/14/2020,20187,102,1271
7/14/2020,20190,222,2285
7/14/2020,20191,336,2366
7/14/2020,20194,37,789
7/14/2020,20197,13,219
7/14/2020,20198,7,151
7/14/2020,22003,1320,6415
7/14/2020,22015,400,3198
7/14/2020,22025,125,1410
7/14/2020,22026,273,1983
7/14/2020,22027,60,218
7/14/2020,22030,435,4550
7/14/2020,22031,432,3433
7/14/2020,22032,145,2021
7/14/2020,22033,280,2910
7/14/2020,22035,Suppressed*,39
7/14/2020,22039,89,1260
7/14/2020,22041,762,3726
7/14/2020,22042,847,4117
7/14/2020,22043,264,1801
7/14/2020,22044,278,1465
7/14/2020,22046,213,1755
7/14/2020,22060,23,293
7/14/2020,22066,87,1173
7/14/2020,22079,354,2636
7/14/2020,22101,140,2651
7/14/2020,22102,134,1901
7/14/2020,22124,70,1243
7/14/2020,22125,Suppressed*,79
7/14/2020,22134,23,168
7/14/2020,22150,796,4221
7/14/2020,22151,292,1653
7/14/2020,22152,232,2062
7/14/2020,22153,192,2192
7/14/2020,22172,181,1064
7/14/2020,22180,237,2073
7/14/2020,22181,70,999
7/14/2020,22182,132,1898
7/14/2020,22185,0,Suppressed*
7/14/2020,22191,1797,9628
7/14/2020,22192,815,6758
7/14/2020,22193,1645,9287
7/14/2020,22201,228,2979
7/14/2020,22202,227,2293
7/14/2020,22203,349,2491
7/14/2020,22204,1077,6225
7/14/2020,22205,145,1924
7/14/2020,22206,195,1926
7/14/2020,22207,315,3272
7/14/2020,22209,94,1121
7/14/2020,22211,Suppressed*,21
7/14/2020,22213,19,257
7/14/2020,22214,0,Suppressed*
7/14/2020,22301,94,1237
7/14/2020,22302,255,2885
7/14/2020,22303,231,1386
7/14/2020,22304,727,5296
7/14/2020,22305,606,2586
7/14/2020,22306,930,3974
7/14/2020,22307,82,928
7/14/2020,22308,76,832
7/14/2020,22309,692,3193
7/14/2020,22310,305,2274
7/14/2020,22311,481,2692
7/14/2020,22312,631,3237
7/14/2020,22314,228,2908
7/14/2020,22315,127,1950
7/14/2020,22401,274,2859
7/14/2020,22405,166,2483
7/14/2020,22406,138,2033
7/14/2020,22407,662,6097
7/14/2020,22408,237,2436
7/14/2020,22427,15,594
7/14/2020,22432,Suppressed*,59
7/14/2020,22433,Suppressed*,10
7/14/2020,22435,12,246
7/14/2020,22436,0,59
7/14/2020,22437,Suppressed*,87
7/14/2020,22438,Suppressed*,52
7/14/2020,22443,37,638
7/14/2020,22448,Suppressed*,69
7/14/2020,22454,Suppressed*,134
7/14/2020,22460,7,176
7/14/2020,22469,44,266
7/14/2020,22473,23,561
7/14/2020,22476,Suppressed*,27
7/14/2020,22480,0,332
7/14/2020,22482,6,401
7/14/2020,22485,101,1834
7/14/2020,22488,57,222
7/14/2020,22503,9,387
7/14/2020,22504,0,22
7/14/2020,22508,64,1093
7/14/2020,22509,Suppressed*,6
7/14/2020,22511,5,124
7/14/2020,22514,17,204
7/14/2020,22520,45,662
7/14/2020,22529,Suppressed*,25
7/14/2020,22530,0,6
7/14/2020,22534,6,187
7/14/2020,22535,Suppressed*,42
7/14/2020,22538,0,20
7/14/2020,22539,5,222
7/14/2020,22542,9,159
7/14/2020,22546,81,1251
7/14/2020,22548,0,8
7/14/2020,22551,106,1468
7/14/2020,22553,60,1149
7/14/2020,22554,495,4693
7/14/2020,22556,255,2171
7/14/2020,22560,51,1125
7/14/2020,22567,6,237
7/14/2020,22572,293,1208
7/14/2020,22576,Suppressed*,131
7/14/2020,22578,Suppressed*,177
7/14/2020,22579,Suppressed*,26
7/14/2020,22580,21,377
7/14/2020,22601,365,12691
7/14/2020,22602,198,1402
7/14/2020,22603,139,1188
7/14/2020,22610,9,61
7/14/2020,22611,31,573
7/14/2020,22620,12,145
7/14/2020,22623,Suppressed*,15
7/14/2020,22624,11,104
7/14/2020,22625,7,156
7/14/2020,22627,Suppressed*,44
7/14/2020,22630,275,1888
7/14/2020,22637,Suppressed*,90
7/14/2020,22639,Suppressed*,28
7/14/2020,22640,Suppressed*,14
7/14/2020,22641,0,8
7/14/2020,22642,28,200
7/14/2020,22643,0,20
7/14/2020,22644,57,114
7/14/2020,22645,29,173
7/14/2020,22646,0,18
7/14/2020,22650,Suppressed*,30
7/14/2020,22652,7,60
7/14/2020,22654,Suppressed*,27
7/14/2020,22655,122,839
7/14/2020,22656,26,211
7/14/2020,22657,68,524
7/14/2020,22660,15,72
7/14/2020,22663,14,65
7/14/2020,22664,204,1019
7/14/2020,22701,730,3538
7/14/2020,22709,6,160
7/14/2020,22711,0,Suppressed*
7/14/2020,22712,113,884
7/14/2020,22713,8,83
7/14/2020,22714,14,83
7/14/2020,22715,Suppressed*,80
7/14/2020,22716,5,54
7/14/2020,22718,7,40
7/14/2020,22719,0,14
7/14/2020,22720,Suppressed*,56
7/14/2020,22722,0,9
7/14/2020,22723,Suppressed*,10
7/14/2020,22724,18,147
7/14/2020,22726,23,105
7/14/2020,22727,21,459
7/14/2020,22728,19,209
7/14/2020,22729,Suppressed*,16
7/14/2020,22730,Suppressed*,6
7/14/2020,22731,Suppressed*,24
7/14/2020,22732,Suppressed*,20
7/14/2020,22733,18,99
7/14/2020,22734,31,272
7/14/2020,22735,Suppressed*,122
7/14/2020,22736,5,32
7/14/2020,22737,19,177
7/14/2020,22738,Suppressed*,71
7/14/2020,22740,Suppressed*,74
7/14/2020,22741,0,15
7/14/2020,22742,19,151
7/14/2020,22743,Suppressed*,6
7/14/2020,22747,Suppressed*,68
7/14/2020,22749,0,17
7/14/2020,22801,717,4131
7/14/2020,22802,550,3074
7/14/2020,22807,Suppressed*,13
7/14/2020,22810,Suppressed*,60
7/14/2020,22811,Suppressed*,43
7/14/2020,22812,43,684
7/14/2020,22815,104,749
7/14/2020,22820,0,9
7/14/2020,22821,35,389
7/14/2020,22824,94,316
7/14/2020,22827,91,955
7/14/2020,22830,16,142
7/14/2020,22831,8,77
7/14/2020,22832,6,77
7/14/2020,22834,7,106
7/14/2020,22835,162,785
7/14/2020,22840,23,404
7/14/2020,22841,23,243
7/14/2020,22842,83,353
7/14/2020,22843,7,140
7/14/2020,22844,59,459
7/14/2020,22845,0,8
7/14/2020,22846,15,161
7/14/2020,22847,6,54
7/14/2020,22849,59,387
7/14/2020,22850,9,76
7/14/2020,22851,78,339
7/14/2020,22853,78,430
7/14/2020,22901,261,4169
7/14/2020,22902,217,2798
7/14/2020,22903,210,3816
7/14/2020,22904,0,45
7/14/2020,22911,107,2100
7/14/2020,22920,9,265
7/14/2020,22922,6,138
7/14/2020,22923,19,427
7/14/2020,22931,0,26
7/14/2020,22932,25,708
7/14/2020,22935,Suppressed*,95
7/14/2020,22936,14,440
7/14/2020,22937,5,116
7/14/2020,22938,Suppressed*,94
7/14/2020,22939,15,565
7/14/2020,22940,5,99
7/14/2020,22942,29,866
7/14/2020,22943,Suppressed*,43
7/14/2020,22946,Suppressed*,21
7/14/2020,22947,11,416
7/14/2020,22948,0,13
7/14/2020,22949,0,135
7/14/2020,22952,6,163
7/14/2020,22958,8,132
7/14/2020,22959,8,170
7/14/2020,22960,51,1155
7/14/2020,22963,41,1258
7/14/2020,22964,0,14
7/14/2020,22967,Suppressed*,146
7/14/2020,22968,49,902
7/14/2020,22969,Suppressed*,114
7/14/2020,22971,0,107
7/14/2020,22972,Suppressed*,37
7/14/2020,22973,25,746
7/14/2020,22974,31,404
7/14/2020,22976,0,17
7/14/2020,22980,129,2567
7/14/2020,22989,0,8
7/14/2020,23002,43,1221
7/14/2020,23004,13,110
7/14/2020,23005,77,1756
7/14/2020,23009,31,612
7/14/2020,23011,Suppressed*,82
7/14/2020,23015,16,337
7/14/2020,23021,0,12
7/14/2020,23022,14,97
