"﻿Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
6/23/2020,24471,7,87
6/23/2020,24323,Suppressed*,19
6/23/2020,24646,0,15
6/23/2020,24354,20,456
6/23/2020,23894,Suppressed*,40
6/23/2020,22401,222,2001
6/23/2020,22182,122,1308
6/23/2020,24630,0,148
6/23/2020,23140,22,388
6/23/2020,23839,Suppressed*,53
6/23/2020,24477,29,438
6/23/2020,20176,688,3995
6/23/2020,20137,16,116
6/23/2020,24649,0,50
6/23/2020,22947,8,248
6/23/2020,23851,44,1415
6/23/2020,22601,304,10226
6/23/2020,22509,Suppressed*,7
6/23/2020,22015,370,2340
6/23/2020,23690,0,124
6/23/2020,24348,10,164
6/23/2020,22637,Suppressed*,31
6/23/2020,20139,Suppressed*,13
6/23/2020,24176,Suppressed*,35
6/23/2020,23314,17,387
6/23/2020,24421,Suppressed*,125
6/23/2020,20198,6,105
6/23/2020,22976,0,16
6/23/2020,22435,Suppressed*,137
6/23/2020,24605,Suppressed*,305
6/23/2020,24340,9,128
6/23/2020,23221,43,1063
6/23/2020,23336,10,146
6/23/2020,22044,268,1140
6/23/2020,24065,Suppressed*,79
6/23/2020,22851,71,220
6/23/2020,22181,63,669
6/23/2020,24014,64,386
6/23/2020,23237,340,2296
6/23/2020,24266,Suppressed*,274
6/23/2020,24531,9,298
6/23/2020,23942,14,109
6/23/2020,23883,5,106
6/23/2020,23231,175,2752
6/23/2020,24078,47,341
6/23/2020,23460,Suppressed*,32
6/23/2020,24102,0,20
6/23/2020,22611,24,246
6/23/2020,23967,Suppressed*,61
6/23/2020,23923,8,151
6/23/2020,24378,Suppressed*,26
6/23/2020,24416,14,190
6/23/2020,24375,0,18
6/23/2020,24651,0,369
6/23/2020,22576,0,72
6/23/2020,22066,75,828
6/23/2020,23486,Suppressed*,8
6/23/2020,23701,152,1774
6/23/2020,24011,0,12136
6/23/2020,23806,0,179
6/23/2020,23551,0,7
6/23/2020,23875,46,789
6/23/2020,23821,Suppressed*,167
6/23/2020,23846,Suppressed*,43
6/23/2020,23156,5,63
6/23/2020,20169,95,1224
6/23/2020,24541,35,1158
6/23/2020,23898,10,107
6/23/2020,23876,0,13
6/23/2020,22640,Suppressed*,12
6/23/2020,23669,80,2326
6/23/2020,22035,Suppressed*,39
6/23/2020,24301,13,573
6/23/2020,23917,12,255
6/23/2020,23503,94,1393
6/23/2020,22939,12,335
6/23/2020,24216,10,100
6/23/2020,24538,Suppressed*,209
6/23/2020,24473,0,26
6/23/2020,20166,193,1069
6/23/2020,22041,730,3169
6/23/2020,24631,0,33
6/23/2020,22193,1485,7354
6/23/2020,20135,10,154
6/23/2020,22201,216,2050
6/23/2020,23434,224,3767
6/23/2020,20144,Suppressed*,40
6/23/2020,23303,19,116
6/23/2020,24350,Suppressed*,31
6/23/2020,23395,18,79
6/23/2020,24598,Suppressed*,74
6/23/2020,20120,331,2159
6/23/2020,22812,29,469
6/23/2020,20180,25,383
6/23/2020,24079,Suppressed*,29
6/23/2020,22134,18,118
6/23/2020,23059,96,1941
6/23/2020,24374,0,29
6/23/2020,23461,Suppressed*,62
6/23/2020,24016,14,204
6/23/2020,22508,58,810
6/23/2020,23139,56,1293
6/23/2020,23837,53,237
6/23/2020,22802,513,2270
6/23/2020,24445,0,52
6/23/2020,23021,0,12
6/23/2020,24503,21,926
6/23/2020,22952,5,112
6/23/2020,22042,794,3218
6/23/2020,22973,11,481
6/23/2020,24258,0,36
6/23/2020,24382,21,539
6/23/2020,22656,21,107
6/23/2020,22211,Suppressed*,19
6/23/2020,20191,316,1758
6/23/2020,24211,10,650
6/23/2020,23930,25,419
6/23/2020,20110,1452,6208
6/23/2020,22438,Suppressed*,38
6/23/2020,22844,43,245
6/23/2020,23602,82,1573
6/23/2020,24589,0,105
6/23/2020,24603,Suppressed*,18
6/23/2020,22719,0,10
6/23/2020,23102,9,172
6/23/2020,22315,106,1341
6/23/2020,23228,291,2763
6/23/2020,24517,Suppressed*,288
6/23/2020,22749,0,16
6/23/2020,22902,146,1659
6/23/2020,24248,Suppressed*,75
6/23/2020,22650,Suppressed*,18
6/23/2020,23888,11,122
6/23/2020,24151,26,589
6/23/2020,20117,8,118
6/23/2020,20170,1019,3553
6/23/2020,22967,Suppressed*,80
6/23/2020,23976,Suppressed*,25
6/23/2020,23229,241,2634
6/23/2020,23603,5,116
6/23/2020,23513,96,1636
6/23/2020,24558,8,318
6/23/2020,23032,0,14
6/23/2020,22204,982,4970
6/23/2020,22191,1561,7422
6/23/2020,24139,8,37
6/23/2020,23845,0,26
6/23/2020,23056,0,4
6/23/2020,23150,98,941
6/23/2020,22949,0,90
6/23/2020,24013,21,124
6/23/2020,20121,229,1447
6/23/2020,24459,6,27
6/23/2020,23462,208,3967
6/23/2020,20190,219,1733
6/23/2020,24601,0,2
6/23/2020,20106,39,247
6/23/2020,24595,0,10
6/23/2020,23422,7,33
6/23/2020,22824,85,193
6/23/2020,23966,10,181
6/23/2020,22932,22,451
6/23/2020,22202,208,1495
6/23/2020,23188,156,2423
6/23/2020,23702,34,556
