Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
7/11/2020,20105,134,2026
7/11/2020,20106,47,312
7/11/2020,20109,1224,5291
7/11/2020,20110,1580,7226
7/11/2020,20111,1006,4319
7/11/2020,20112,250,2296
7/11/2020,20115,40,430
7/11/2020,20117,11,174
7/11/2020,20118,Suppressed*,131
7/11/2020,20119,32,301
7/11/2020,20120,373,2923
7/11/2020,20121,263,1926
7/11/2020,20124,76,1035
7/11/2020,20129,10,79
7/11/2020,20130,0,21
7/11/2020,20132,85,1450
7/11/2020,20135,11,232
7/11/2020,20136,228,2021
7/11/2020,20137,15,145
7/11/2020,20139,Suppressed*,17
7/11/2020,20141,29,515
7/11/2020,20143,5,90
7/11/2020,20144,Suppressed*,52
7/11/2020,20147,507,5550
7/11/2020,20148,245,3226
7/11/2020,20151,304,1842
7/11/2020,20152,237,2392
7/11/2020,20155,286,3004
7/11/2020,20158,26,365
7/11/2020,20164,1269,5492
7/11/2020,20165,348,3956
7/11/2020,20166,218,1331
7/11/2020,20169,112,1701
7/11/2020,20170,1079,4516
7/11/2020,20171,314,2908
7/11/2020,20175,286,3263
7/11/2020,20176,826,5669
7/11/2020,20180,32,608
7/11/2020,20181,49,743
7/11/2020,20184,Suppressed*,68
7/11/2020,20186,95,1598
7/11/2020,20187,95,1221
7/11/2020,20190,220,2187
7/11/2020,20191,334,2266
7/11/2020,20194,37,746
7/11/2020,20197,13,212
7/11/2020,20198,7,149
7/11/2020,22003,1302,6235
7/11/2020,22015,397,3063
7/11/2020,22025,125,1355
7/11/2020,22026,266,1912
7/11/2020,22027,59,203
7/11/2020,22030,424,4358
7/11/2020,22031,430,3289
7/11/2020,22032,143,1916
7/11/2020,22033,271,2773
7/11/2020,22035,Suppressed*,39
7/11/2020,22039,84,1198
7/11/2020,22041,757,3622
7/11/2020,22042,841,3976
7/11/2020,22043,264,1727
7/11/2020,22044,277,1417
7/11/2020,22046,210,1672
7/11/2020,22060,17,256
7/11/2020,22066,83,1127
7/11/2020,22079,347,2538
7/11/2020,22101,135,2557
7/11/2020,22102,132,1808
7/11/2020,22124,68,1168
7/11/2020,22125,Suppressed*,76
7/11/2020,22134,22,162
7/11/2020,22150,788,4061
7/11/2020,22151,290,1601
7/11/2020,22152,222,1978
7/11/2020,22153,189,2101
7/11/2020,22172,177,1028
7/11/2020,22180,236,1967
7/11/2020,22181,69,938
7/11/2020,22182,129,1794
7/11/2020,22185,0,1
7/11/2020,22191,1758,9129
7/11/2020,22192,802,6518
7/11/2020,22193,1630,8985
7/11/2020,22201,226,2812
7/11/2020,22202,223,2183
7/11/2020,22203,340,2386
7/11/2020,22204,1064,6033
7/11/2020,22205,137,1835
7/11/2020,22206,183,1836
7/11/2020,22207,302,3001
7/11/2020,22209,90,1050
7/11/2020,22211,Suppressed*,21
7/11/2020,22213,19,242
7/11/2020,22214,0,4
7/11/2020,22301,94,1192
7/11/2020,22302,254,2739
7/11/2020,22303,228,1351
7/11/2020,22304,725,5145
7/11/2020,22305,605,2514
7/11/2020,22306,923,3845
7/11/2020,22307,81,880
7/11/2020,22308,74,792
7/11/2020,22309,684,3083
7/11/2020,22310,303,2185
7/11/2020,22311,476,2621
7/11/2020,22312,624,3148
7/11/2020,22314,224,2790
7/11/2020,22315,126,1858
7/11/2020,22401,266,2666
7/11/2020,22405,160,2404
7/11/2020,22406,133,1962
7/11/2020,22407,657,5930
7/11/2020,22408,234,2365
7/11/2020,22427,15,548
7/11/2020,22432,Suppressed*,50
7/11/2020,22433,Suppressed*,9
7/11/2020,22435,9,200
7/11/2020,22436,0,57
7/11/2020,22437,Suppressed*,85
7/11/2020,22438,Suppressed*,50
7/11/2020,22443,37,614
7/11/2020,22448,Suppressed*,67
7/11/2020,22454,Suppressed*,127
7/11/2020,22460,6,165
7/11/2020,22469,44,250
7/11/2020,22473,21,405
7/11/2020,22476,Suppressed*,24
7/11/2020,22480,0,323
7/11/2020,22482,5,373
7/11/2020,22485,102,1777
7/11/2020,22488,57,204
7/11/2020,22503,7,358
7/11/2020,22504,0,19
7/11/2020,22508,61,1054
7/11/2020,22509,Suppressed*,6
7/11/2020,22511,5,105
7/11/2020,22514,17,199
7/11/2020,22520,43,622
7/11/2020,22529,Suppressed*,25
7/11/2020,22530,0,4
7/11/2020,22534,6,182
7/11/2020,22535,Suppressed*,42
7/11/2020,22538,0,19
7/11/2020,22539,Suppressed*,168
7/11/2020,22542,9,153
7/11/2020,22546,74,1194
7/11/2020,22548,0,8
7/11/2020,22551,104,1414
7/11/2020,22553,59,1111
7/11/2020,22554,490,4514
7/11/2020,22556,251,2103
7/11/2020,22560,47,1086
7/11/2020,22567,6,227
7/11/2020,22572,292,1153
7/11/2020,22576,Suppressed*,116
7/11/2020,22578,Suppressed*,163
7/11/2020,22579,Suppressed*,23
7/11/2020,22580,20,360
7/11/2020,22601,350,12245
7/11/2020,22602,192,1232
7/11/2020,22603,134,787
7/11/2020,22610,9,58
7/11/2020,22611,30,536
7/11/2020,22620,12,132
7/11/2020,22623,Suppressed*,15
7/11/2020,22624,10,87
7/11/2020,22625,7,128
7/11/2020,22627,Suppressed*,41
7/11/2020,22630,271,1778
7/11/2020,22637,Suppressed*,74
7/11/2020,22639,Suppressed*,27
7/11/2020,22640,Suppressed*,13
7/11/2020,22641,0,7
7/11/2020,22642,25,192
7/11/2020,22643,0,19
7/11/2020,22644,56,108
7/11/2020,22645,29,156
7/11/2020,22646,0,16
7/11/2020,22650,Suppressed*,27
7/11/2020,22652,7,55
7/11/2020,22654,Suppressed*,24
7/11/2020,22655,121,741
7/11/2020,22656,22,183
7/11/2020,22657,66,469
7/11/2020,22660,15,69
7/11/2020,22663,14,63
7/11/2020,22664,201,984
7/11/2020,22701,722,3421
7/11/2020,22709,5,157
7/11/2020,22711,0,3
7/11/2020,22712,112,855
7/11/2020,22713,8,78
7/11/2020,22714,14,79
7/11/2020,22715,Suppressed*,78
7/11/2020,22716,5,52
7/11/2020,22718,Suppressed*,37
7/11/2020,22719,0,14
7/11/2020,22720,Suppressed*,54
7/11/2020,22722,0,9
7/11/2020,22723,Suppressed*,9
7/11/2020,22724,17,141
7/11/2020,22726,23,101
7/11/2020,22727,21,449
7/11/2020,22728,14,204
7/11/2020,22729,Suppressed*,16
7/11/2020,22730,Suppressed*,6
7/11/2020,22731,Suppressed*,22
7/11/2020,22732,Suppressed*,20
7/11/2020,22733,18,98
7/11/2020,22734,31,266
7/11/2020,22735,Suppressed*,119
7/11/2020,22736,5,31
7/11/2020,22737,19,169
7/11/2020,22738,Suppressed*,68
7/11/2020,22740,Suppressed*,73
7/11/2020,22741,0,15
7/11/2020,22742,19,150
7/11/2020,22743,Suppressed*,5
7/11/2020,22747,Suppressed*,67
7/11/2020,22749,0,16
7/11/2020,22801,704,3833
7/11/2020,22802,546,2866
7/11/2020,22807,Suppressed*,11
7/11/2020,22810,Suppressed*,53
7/11/2020,22811,Suppressed*,41
7/11/2020,22812,41,644
7/11/2020,22815,101,713
7/11/2020,22820,0,8
7/11/2020,22821,35,371
7/11/2020,22824,94,303
7/11/2020,22827,85,904
7/11/2020,22830,16,138
7/11/2020,22831,8,75
7/11/2020,22832,6,69
7/11/2020,22834,7,98
7/11/2020,22835,162,753
7/11/2020,22840,22,369
7/11/2020,22841,23,225
7/11/2020,22842,84,340
7/11/2020,22843,7,133
7/11/2020,22844,57,439
7/11/2020,22845,0,8
7/11/2020,22846,15,155
7/11/2020,22847,6,49
7/11/2020,22849,56,369
7/11/2020,22850,9,75
7/11/2020,22851,77,313
7/11/2020,22853,74,410
7/11/2020,22901,250,3938
7/11/2020,22902,211,2649
7/11/2020,22903,168,3538
7/11/2020,22904,0,43
7/11/2020,22911,87,1974
7/11/2020,22920,9,251
7/11/2020,22922,6,134
7/11/2020,22923,16,405
7/11/2020,22931,0,24
7/11/2020,22932,25,663
7/11/2020,22935,Suppressed*,90
7/11/2020,22936,11,416
7/11/2020,22937,Suppressed*,107
7/11/2020,22938,Suppressed*,90
7/11/2020,22939,14,555
7/11/2020,22940,Suppressed*,91
7/11/2020,22942,27,843
7/11/2020,22943,Suppressed*,40
7/11/2020,22946,Suppressed*,19
7/11/2020,22947,10,387
7/11/2020,22948,0,13
7/11/2020,22949,0,124
7/11/2020,22952,6,156
7/11/2020,22958,8,130
7/11/2020,22959,8,165
7/11/2020,22960,51,1118
7/11/2020,22963,38,1181
7/11/2020,22964,0,14
7/11/2020,22967,Suppressed*,127
7/11/2020,22968,45,858
7/11/2020,22969,Suppressed*,109
7/11/2020,22971,0,100
7/11/2020,22972,Suppressed*,35
7/11/2020,22973,23,729
7/11/2020,22974,28,389
7/11/2020,22976,0,17
7/11/2020,22980,125,2486
7/11/2020,22989,0,6
7/11/2020,23002,39,1117
7/11/2020,23004,13,108
7/11/2020,23005,76,1678
7/11/2020,23009,29,574
7/11/2020,23011,Suppressed*,77
7/11/2020,23015,15,328
7/11/2020,23021,0,12
7/11/2020,23022,11,93
7/11/2020,23023,Suppressed*,27
7/11/2020,23024,43,686
7/11/2020,23025,0,19
7/11/2020,23027,13,122
7/11/2020,23030,31,477
7/11/2020,23032,0,30
7/11/2020,23035,Suppressed*,76
7/11/2020,23038,9,134
7/11/2020,23039,Suppressed*,76
