Report Date,ZIP Code,Number of Cases,Number of Testing Encounters
2020-05-10,20105,56,396
2020-05-10,20106,20,79
2020-05-10,20109,426,1077
2020-05-10,20110,440,1213
2020-05-10,20111,314,879
2020-05-10,20112,84,504
2020-05-10,20115,16,99
2020-05-10,20117,7,43
2020-05-10,20118,Suppressed*,38
2020-05-10,20119,10,70
2020-05-10,20120,112,687
2020-05-10,20121,80,413
2020-05-10,20124,28,242
2020-05-10,20129,7,26
2020-05-10,20130,0,8
2020-05-10,20132,20,240
2020-05-10,20135,5,48
2020-05-10,20136,73,473
2020-05-10,20137,Suppressed*,18
2020-05-10,20139,Suppressed*,5
2020-05-10,20141,7,92
2020-05-10,20143,0,21
2020-05-10,20144,Suppressed*,11
2020-05-10,20147,174,978
2020-05-10,20148,76,625
2020-05-10,20151,84,344
2020-05-10,20152,57,373
2020-05-10,20155,102,630
2020-05-10,20158,6,59
2020-05-10,20164,315,904
2020-05-10,20165,112,583
2020-05-10,20166,56,255
2020-05-10,20169,41,388
2020-05-10,20170,278,869
2020-05-10,20171,157,619
2020-05-10,20175,59,537
2020-05-10,20176,166,868
2020-05-10,20180,6,116
2020-05-10,20181,20,156
2020-05-10,20184,Suppressed*,28
2020-05-10,20186,35,312
2020-05-10,20187,34,283
2020-05-10,20190,101,440
2020-05-10,20191,131,584
2020-05-10,20194,16,179
2020-05-10,20197,Suppressed*,47
2020-05-10,20198,Suppressed*,32
2020-05-10,22003,528,1487
2020-05-10,22015,213,796
2020-05-10,22025,53,328
2020-05-10,22026,87,399
2020-05-10,22027,39,66
2020-05-10,22030,138,907
2020-05-10,22031,164,709
2020-05-10,22032,79,473
2020-05-10,22033,110,618
2020-05-10,22035,0,4
2020-05-10,22039,38,277
2020-05-10,22041,352,828
2020-05-10,22042,290,935
2020-05-10,22043,111,456
2020-05-10,22044,124,349
2020-05-10,22046,94,389
2020-05-10,22060,11,74
2020-05-10,22066,33,373
2020-05-10,22079,150,715
2020-05-10,22101,76,720
2020-05-10,22102,70,561
2020-05-10,22124,29,273
2020-05-10,22125,0,12
2020-05-10,22134,11,43
2020-05-10,22150,403,969
2020-05-10,22151,141,439
2020-05-10,22152,104,483
2020-05-10,22153,87,504
2020-05-10,22172,67,228
2020-05-10,22180,69,462
2020-05-10,22181,24,232
2020-05-10,22182,55,444
2020-05-10,22191,622,2094
2020-05-10,22192,266,1395
2020-05-10,22193,552,1964
2020-05-10,22201,130,799
2020-05-10,22202,110,545
2020-05-10,22203,173,521
2020-05-10,22204,524,1495
2020-05-10,22205,75,420
2020-05-10,22206,100,477
2020-05-10,22207,184,837
2020-05-10,22209,46,293
2020-05-10,22211,Suppressed*,9
2020-05-10,22213,10,61
2020-05-10,22214,0,2
2020-05-10,22301,39,324
2020-05-10,22302,114,436
2020-05-10,22303,82,402
2020-05-10,22304,341,1313
