"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-07-14,22731,Suppressed*,24
2020-07-14,22732,Suppressed*,20
2020-07-14,22733,18,99
2020-07-14,22734,31,272
2020-07-14,22735,Suppressed*,122
2020-07-14,22736,5,32
2020-07-14,22737,19,177
2020-07-14,22738,Suppressed*,71
2020-07-14,22740,Suppressed*,74
2020-07-14,22741,0,15
2020-07-14,22742,19,151
2020-07-14,22743,Suppressed*,6
2020-07-14,22747,Suppressed*,68
2020-07-14,22749,0,17
2020-07-14,22801,717,4131
2020-07-14,22802,550,3074
2020-07-14,22807,Suppressed*,13
2020-07-14,22810,Suppressed*,60
2020-07-14,22811,Suppressed*,43
2020-07-14,22812,43,684
2020-07-14,22815,104,749
2020-07-14,22820,0,9
2020-07-14,22821,35,389
2020-07-14,22824,94,316
2020-07-14,22827,91,955
2020-07-14,22830,16,142
2020-07-14,22831,8,77
2020-07-14,22832,6,77
2020-07-14,22834,7,106
2020-07-14,22835,162,785
2020-07-14,22840,23,404
2020-07-14,22841,23,243
2020-07-14,22842,83,353
2020-07-14,22843,7,140
2020-07-14,22844,59,459
2020-07-14,22845,0,8
2020-07-14,22846,15,161
2020-07-14,22847,6,54
2020-07-14,22849,59,387
2020-07-14,22850,9,76
2020-07-14,22851,78,339
2020-07-14,22853,78,430
2020-07-14,22901,261,4169
2020-07-14,22902,217,2798
2020-07-14,22903,210,3816
2020-07-14,22904,0,45
2020-07-14,22911,107,2100
2020-07-14,22920,9,265
2020-07-14,22922,6,138
2020-07-14,22923,19,427
2020-07-14,22931,0,26
2020-07-14,22932,25,708
2020-07-14,22935,Suppressed*,95
2020-07-14,22936,14,440
2020-07-14,22937,5,116
2020-07-14,22938,Suppressed*,94
2020-07-14,22939,15,565
2020-07-14,22940,5,99
2020-07-14,22942,29,866
2020-07-14,22943,Suppressed*,43
2020-07-14,22946,Suppressed*,21
2020-07-14,22947,11,416
2020-07-14,22948,0,13
2020-07-14,22949,0,135
2020-07-14,22952,6,163
2020-07-14,22958,8,132
2020-07-14,22959,8,170
