"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/18/2020,22731,Suppressed*,24
7/18/2020,22732,Suppressed*,21
7/18/2020,22733,19,103
7/18/2020,22734,32,288
7/18/2020,22735,Suppressed*,129
7/18/2020,22736,5,35
7/18/2020,22737,20,185
7/18/2020,22738,Suppressed*,75
7/18/2020,22740,Suppressed*,79
7/18/2020,22741,0,15
7/18/2020,22742,19,156
7/18/2020,22743,Suppressed*,6
7/18/2020,22747,Suppressed*,72
7/18/2020,22749,0,17
7/18/2020,22801,726,4268
7/18/2020,22802,557,3214
7/18/2020,22807,Suppressed*,13
7/18/2020,22810,Suppressed*,63
7/18/2020,22811,Suppressed*,44
7/18/2020,22812,47,719
7/18/2020,22815,103,822
7/18/2020,22820,0,11
7/18/2020,22821,36,408
7/18/2020,22824,95,358
7/18/2020,22827,93,1002
7/18/2020,22830,17,152
7/18/2020,22831,8,79
7/18/2020,22832,6,84
7/18/2020,22834,7,114
7/18/2020,22835,164,834
7/18/2020,22840,26,424
7/18/2020,22841,24,261
7/18/2020,22842,85,383
7/18/2020,22843,7,155
7/18/2020,22844,75,576
7/18/2020,22845,0,8
7/18/2020,22846,16,171
7/18/2020,22847,6,61
7/18/2020,22849,63,430
7/18/2020,22850,9,82
7/18/2020,22851,85,385
7/18/2020,22853,80,469
7/18/2020,22901,273,4585
7/18/2020,22902,223,2976
7/18/2020,22903,235,4163
7/18/2020,22904,Suppressed*,75
7/18/2020,22911,113,2220
7/18/2020,22920,10,287
7/18/2020,22922,7,149
7/18/2020,22923,19,457
7/18/2020,22931,0,28
7/18/2020,22932,26,760
7/18/2020,22935,Suppressed*,105
7/18/2020,22936,19,486
7/18/2020,22937,5,122
7/18/2020,22938,Suppressed*,99
7/18/2020,22939,15,609
7/18/2020,22940,5,107
7/18/2020,22942,33,910
7/18/2020,22943,Suppressed*,49
7/18/2020,22946,Suppressed*,25
7/18/2020,22947,14,457
7/18/2020,22948,0,15
7/18/2020,22949,0,139
7/18/2020,22952,6,177
7/18/2020,22958,8,139
7/18/2020,22959,8,183
7/18/2020,22960,51,1204
7/18/2020,22963,45,1364
7/18/2020,22964,0,18
7/18/2020,22967,Suppressed*,158
7/18/2020,22968,54,1000
7/18/2020,22969,Suppressed*,125
7/18/2020,22971,0,118
7/18/2020,22972,Suppressed*,39
7/18/2020,22973,25,876
7/18/2020,22974,32,454
7/18/2020,22976,Suppressed*,20
7/18/2020,22980,147,2772
7/18/2020,22989,0,11
7/18/2020,23002,44,1261
7/18/2020,23004,13,115
7/18/2020,23005,78,1848
7/18/2020,23009,31,649
7/18/2020,23011,Suppressed*,89
7/18/2020,23015,17,363
7/18/2020,23021,0,12
7/18/2020,23022,15,116
7/18/2020,23023,Suppressed*,30
7/18/2020,23024,43,752
7/18/2020,23025,0,21
7/18/2020,23027,15,133
7/18/2020,23030,32,547
7/18/2020,23032,0,30
7/18/2020,23035,Suppressed*,92
7/18/2020,23038,10,149
7/18/2020,23039,Suppressed*,83
7/18/2020,23040,34,424
7/18/2020,23043,Suppressed*,127
7/18/2020,23045,0,Suppressed*
7/18/2020,23047,10,192
7/18/2020,23050,Suppressed*,61
7/18/2020,23055,43,123
7/18/2020,23056,0,12
7/18/2020,23059,125,2866
7/18/2020,23060,222,3699
7/18/2020,23061,52,1731
7/18/2020,23062,6,190
7/18/2020,23063,62,695
7/18/2020,23064,0,8
7/18/2020,23065,Suppressed*,142
7/18/2020,23066,0,68
7/18/2020,23068,0,16
7/18/2020,23069,14,330
7/18/2020,23070,0,33
7/18/2020,23071,Suppressed*,118
7/18/2020,23072,26,883
7/18/2020,23075,145,1232
7/18/2020,23076,0,41
7/18/2020,23079,0,27
7/18/2020,23083,13,198
7/18/2020,23084,9,186
7/18/2020,23085,Suppressed*,25
7/18/2020,23086,16,260
7/18/2020,23089,17,459
7/18/2020,23091,0,30
7/18/2020,23092,0,129
7/18/2020,23093,52,1366
7/18/2020,23102,13,283
7/18/2020,23103,32,596
7/18/2020,23106,Suppressed*,81
7/18/2020,23108,0,6
7/18/2020,23109,Suppressed*,160
7/18/2020,23110,Suppressed*,48
7/18/2020,23111,165,3754
7/18/2020,23112,241,5253
7/18/2020,23113,169,2961
7/18/2020,23114,93,1786
7/18/2020,23115,13,34
7/18/2020,23116,183,2998
7/18/2020,23117,35,917
7/18/2020,23119,Suppressed*,27
7/18/2020,23120,55,1035
7/18/2020,23123,17,251
7/18/2020,23124,20,417
7/18/2020,23125,Suppressed*,10
7/18/2020,23126,5,51
7/18/2020,23128,Suppressed*,88
7/18/2020,23129,Suppressed*,31
7/18/2020,23130,Suppressed*,13
7/18/2020,23138,0,41
7/18/2020,23139,76,1906
7/18/2020,23140,29,604
7/18/2020,23141,30,637
7/18/2020,23146,10,254
7/18/2020,23148,Suppressed*,163
7/18/2020,23149,8,363
7/18/2020,23150,110,1320
7/18/2020,23153,5,119
7/18/2020,23156,6,113
7/18/2020,23160,13,91
7/18/2020,23161,0,6
7/18/2020,23163,0,10
7/18/2020,23168,20,719
7/18/2020,23169,Suppressed*,87
7/18/2020,23173,Suppressed*,10
7/18/2020,23175,Suppressed*,189
7/18/2020,23176,0,52
7/18/2020,23177,Suppressed*,63
7/18/2020,23180,0,28
7/18/2020,23181,7,543
7/18/2020,23185,302,4691
7/18/2020,23187,Suppressed*,32
7/18/2020,23188,230,4374
7/18/2020,23192,21,598
7/18/2020,23219,30,986
7/18/2020,23220,150,3922
7/18/2020,23221,59,1795
7/18/2020,23222,184,3106
7/18/2020,23223,465,6942
7/18/2020,23224,1016,7439
7/18/2020,23225,555,6580
7/18/2020,23226,258,3367
7/18/2020,23227,200,4113
7/18/2020,23228,410,4388
7/18/2020,23229,312,4372
7/18/2020,23230,92,3344
7/18/2020,23231,248,4101
7/18/2020,23233,184,3398
7/18/2020,23234,1206,6435
7/18/2020,23235,325,4079
7/18/2020,23236,193,2980
7/18/2020,23237,429,3217
7/18/2020,23238,307,3491
7/18/2020,23250,0,6
7/18/2020,23294,184,1871
7/18/2020,23301,98,298
7/18/2020,23302,Suppressed*,20
7/18/2020,23303,21,150
7/18/2020,23304,Suppressed*,17
7/18/2020,23306,26,168
7/18/2020,23307,18,88
7/18/2020,23308,52,258
7/18/2020,23310,33,365
7/18/2020,23313,Suppressed*,13
7/18/2020,23314,34,644
7/18/2020,23315,Suppressed*,116
7/18/2020,23316,14,112
7/18/2020,23320,444,9610
7/18/2020,23321,205,3078
7/18/2020,23322,236,5891
7/18/2020,23323,316,3302
7/18/2020,23324,286,2093
7/18/2020,23325,117,1505
7/18/2020,23336,10,216
7/18/2020,23337,0,28
7/18/2020,23347,19,98
7/18/2020,23350,76,435
7/18/2020,23354,15,56
7/18/2020,23356,Suppressed*,122
7/18/2020,23357,42,117
7/18/2020,23358,0,8
7/18/2020,23359,16,67
7/18/2020,23389,Suppressed*,12
7/18/2020,23395,18,108
7/18/2020,23398,5,25
7/18/2020,23401,Suppressed*,43
7/18/2020,23405,10,92
7/18/2020,23407,63,168
7/18/2020,23408,Suppressed*,12
7/18/2020,23409,Suppressed*,13
7/18/2020,23410,68,1288
7/18/2020,23413,83,341
7/18/2020,23414,34,90
7/18/2020,23415,38,272
7/18/2020,23416,12,107
7/18/2020,23417,88,451
7/18/2020,23418,69,237
7/18/2020,23420,91,364
7/18/2020,23421,186,975
7/18/2020,23422,7,55
7/18/2020,23423,Suppressed*,23
7/18/2020,23426,5,14
7/18/2020,23427,Suppressed*,23
7/18/2020,23430,93,1533
7/18/2020,23432,12,106
7/18/2020,23433,0,87
7/18/2020,23434,419,6121
7/18/2020,23435,243,2861
7/18/2020,23436,Suppressed*,76
7/18/2020,23437,17,369
7/18/2020,23438,6,162
7/18/2020,23440,0,12
7/18/2020,23441,41,96
7/18/2020,23442,29,199
7/18/2020,23451,260,4778
7/18/2020,23452,336,5771
7/18/2020,23453,183,3027
7/18/2020,23454,338,6208
7/18/2020,23455,198,4491
7/18/2020,23456,249,5935
7/18/2020,23457,13,320
7/18/2020,23459,20,221
7/18/2020,23460,Suppressed*,68
7/18/2020,23461,Suppressed*,112
7/18/2020,23462,497,6880
7/18/2020,23464,328,6352
7/18/2020,23480,Suppressed*,39
7/18/2020,23486,Suppressed*,12
7/18/2020,23487,97,724
7/18/2020,23488,8,38
7/18/2020,23502,223,3124
7/18/2020,23503,213,2492
7/18/2020,23504,337,2999
7/18/2020,23505,205,3152
7/18/2020,23507,50,1608
7/18/2020,23508,125,1498
7/18/2020,23509,120,2354
7/18/2020,23510,91,1484
7/18/2020,23511,24,574
7/18/2020,23513,302,3037
7/18/2020,23517,46,516
7/18/2020,23518,183,2753
7/18/2020,23523,110,815
7/18/2020,23551,Suppressed*,16
7/18/2020,23601,123,4279
7/18/2020,23602,204,3522
7/18/2020,23603,18,226
7/18/2020,23604,28,86
7/18/2020,23605,80,1031
7/18/2020,23606,174,1996
7/18/2020,23607,108,1721
7/18/2020,23608,290,3300
7/18/2020,23651,Suppressed*,30
7/18/2020,23661,74,1273
7/18/2020,23662,25,823
7/18/2020,23663,40,883
7/18/2020,23664,24,641
7/18/2020,23665,11,129
7/18/2020,23666,284,4216
7/18/2020,23669,194,3570
7/18/2020,23690,8,242
7/18/2020,23691,0,15
7/18/2020,23692,50,1238
7/18/2020,23693,56,1201
7/18/2020,23696,8,186
7/18/2020,23701,258,2810
7/18/2020,23702,101,972
7/18/2020,23703,215,3045
7/18/2020,23704,204,2279
7/18/2020,23707,116,1417
7/18/2020,23708,21,459
7/18/2020,23709,Suppressed*,145
7/18/2020,23801,55,362
7/18/2020,23803,325,4272
7/18/2020,23805,181,3689
7/18/2020,23806,0,172
7/18/2020,23821,5,253
7/18/2020,23824,33,735
7/18/2020,23827,5,134
7/18/2020,23828,Suppressed*,39
7/18/2020,23829,83,867
7/18/2020,23830,12,179
7/18/2020,23831,263,3736
7/18/2020,23832,411,4305
7/18/2020,23833,11,185
7/18/2020,23834,216,3031
7/18/2020,23836,98,1256
7/18/2020,23837,66,430
7/18/2020,23838,67,1402
7/18/2020,23839,5,81
7/18/2020,23840,13,171
7/18/2020,23841,27,409
7/18/2020,23842,34,592
7/18/2020,23843,Suppressed*,58
7/18/2020,23844,Suppressed*,70
7/18/2020,23845,Suppressed*,48
7/18/2020,23846,Suppressed*,69
7/18/2020,23847,442,1755
7/18/2020,23850,Suppressed*,112
7/18/2020,23851,92,2601
7/18/2020,23856,9,109
7/18/2020,23857,5,76
7/18/2020,23860,326,4245
7/18/2020,23866,14,245
7/18/2020,23867,48,265
7/18/2020,23868,105,2379
7/18/2020,23872,9,196
7/18/2020,23874,6,138
7/18/2020,23875,61,1131
7/18/2020,23876,0,19
7/18/2020,23878,5,120
7/18/2020,23879,11,63
7/18/2020,23881,5,150
7/18/2020,23882,17,173
7/18/2020,23883,6,165
7/18/2020,23884,Suppressed*,7
7/18/2020,23885,6,231
7/18/2020,23887,Suppressed*,37
7/18/2020,23888,32,240
7/18/2020,23889,5,77
7/18/2020,23890,99,432
7/18/2020,23891,66,1697
7/18/2020,23893,Suppressed*,43
7/18/2020,23894,Suppressed*,62
7/18/2020,23897,Suppressed*,41
7/18/2020,23898,19,201
7/18/2020,23899,Suppressed*,36
7/18/2020,23901,171,1863
7/18/2020,23909,0,Suppressed*
7/18/2020,23915,6,517
7/18/2020,23917,13,348
7/18/2020,23919,5,303
7/18/2020,23920,9,352
7/18/2020,23921,10,213
7/18/2020,23922,80,2191
7/18/2020,23923,10,203
7/18/2020,23924,100,810
7/18/2020,23927,70,525
7/18/2020,23930,35,586
7/18/2020,23934,5,72
7/18/2020,23936,514,2115
7/18/2020,23937,7,197
7/18/2020,23938,Suppressed*,61
7/18/2020,23942,19,143
7/18/2020,23943,0,6
7/18/2020,23944,12,522
7/18/2020,23947,10,387
7/18/2020,23950,19,380
7/18/2020,23952,Suppressed*,34
7/18/2020,23954,Suppressed*,217
7/18/2020,23958,22,291
7/18/2020,23959,0,83
7/18/2020,23960,33,232
7/18/2020,23962,Suppressed*,70
7/18/2020,23963,0,26
7/18/2020,23964,Suppressed*,109
7/18/2020,23966,15,255
7/18/2020,23967,Suppressed*,87
7/18/2020,23968,Suppressed*,86
7/18/2020,23970,39,990
7/18/2020,23974,15,587
7/18/2020,23976,Suppressed*,37
7/18/2020,24011,0,21908
7/18/2020,24012,299,1967
7/18/2020,24013,31,301
7/18/2020,24014,97,856
7/18/2020,24015,64,821
