"Report Date","ZIP Code","Number of Cases","Total Number of People Tested"
5/7/2020,20105,49,335
5/7/2020,20106,19,62
5/7/2020,20109,374,885
5/7/2020,20110,387,981
5/7/2020,20111,277,712
5/7/2020,20112,71,423
5/7/2020,20115,15,88
5/7/2020,20117,7,39
5/7/2020,20118,Suppressed*,33
5/7/2020,20119,8,58
5/7/2020,20120,85,561
5/7/2020,20121,66,330
5/7/2020,20124,26,213
5/7/2020,20129,7,23
5/7/2020,20130,0,8
5/7/2020,20132,20,200
5/7/2020,20135,5,42
5/7/2020,20136,67,398
5/7/2020,20137,0,14
5/7/2020,20139,Suppressed*,5
5/7/2020,20141,7,80
5/7/2020,20143,0,17
5/7/2020,20144,Suppressed*,10
5/7/2020,20147,167,841
5/7/2020,20148,67,530
5/7/2020,20151,76,288
5/7/2020,20152,52,315
5/7/2020,20155,87,518
5/7/2020,20158,6,45
5/7/2020,20164,270,734
5/7/2020,20165,104,481
5/7/2020,20166,50,215
5/7/2020,20169,39,330
5/7/2020,20170,227,706
5/7/2020,20171,140,532
5/7/2020,20175,54,456
5/7/2020,20176,144,740
5/7/2020,20180,Suppressed*,107
5/7/2020,20181,19,137
5/7/2020,20184,Suppressed*,22
5/7/2020,20186,30,269
5/7/2020,20187,30,251
5/7/2020,20190,92,381
5/7/2020,20191,111,500
5/7/2020,20194,14,147
5/7/2020,20197,Suppressed*,39
5/7/2020,20198,Suppressed*,26
5/7/2020,22003,454,"1,257"
5/7/2020,22015,191,684
5/7/2020,22025,45,279
5/7/2020,22026,83,349
5/7/2020,22027,39,57
5/7/2020,22030,115,766
5/7/2020,22031,138,599
5/7/2020,22032,68,401
5/7/2020,22033,91,506
5/7/2020,22035,0,3
5/7/2020,22039,33,237
5/7/2020,22041,291,702
5/7/2020,22042,248,790
5/7/2020,22043,103,380
5/7/2020,22044,101,289
5/7/2020,22046,88,336
5/7/2020,22060,10,68
5/7/2020,22066,28,325
5/7/2020,22079,128,627
5/7/2020,22101,70,630
5/7/2020,22102,66,498
5/7/2020,22124,27,223
5/7/2020,22125,0,11
5/7/2020,22134,8,36
5/7/2020,22150,357,832
5/7/2020,22151,127,355
5/7/2020,22152,90,429
5/7/2020,22153,77,422
5/7/2020,22172,64,194
5/7/2020,22180,49,378
5/7/2020,22181,20,203
5/7/2020,22182,49,368
5/7/2020,22191,543,"1,816"
5/7/2020,22192,236,"1,219"
5/7/2020,22193,476,"1,670"
5/7/2020,22201,119,707
5/7/2020,22202,99,482
5/7/2020,22203,155,448
5/7/2020,22204,474,"1,300"
5/7/2020,22205,65,366
5/7/2020,22206,96,423
5/7/2020,22207,172,742
5/7/2020,22209,44,262
5/7/2020,22211,Suppressed*,8
5/7/2020,22213,9,49
5/7/2020,22214,0,2
5/7/2020,22301,35,282
5/7/2020,22302,101,378
5/7/2020,22303,71,363
5/7/2020,22304,296,"1,142"
5/7/2020,22305,317,572
5/7/2020,22306,312,844
5/7/2020,22307,34,206
5/7/2020,22308,20,137
5/7/2020,22309,248,707
5/7/2020,22310,133,567
5/7/2020,22311,190,517
5/7/2020,22312,196,659
5/7/2020,22314,113,687
5/7/2020,22315,54,373
5/7/2020,22401,49,429
5/7/2020,22405,48,433
5/7/2020,22406,36,338
5/7/2020,22407,136,846
5/7/2020,22408,42,418
5/7/2020,22427,Suppressed*,38
5/7/2020,22432,0,11
5/7/2020,22433,Suppressed*,3
5/7/2020,22435,Suppressed*,39
5/7/2020,22436,0,6
5/7/2020,22437,Suppressed*,14
5/7/2020,22438,Suppressed*,2
5/7/2020,22443,9,77
5/7/2020,22448,Suppressed*,8
5/7/2020,22454,0,12
5/7/2020,22460,Suppressed*,15
5/7/2020,22469,Suppressed*,25
5/7/2020,22473,Suppressed*,60
5/7/2020,22476,Suppressed*,1
5/7/2020,22480,0,16
5/7/2020,22482,Suppressed*,47
5/7/2020,22485,37,267
5/7/2020,22488,Suppressed*,16
5/7/2020,22503,Suppressed*,63
5/7/2020,22504,0,1
5/7/2020,22508,19,177
5/7/2020,22511,Suppressed*,8
5/7/2020,22514,Suppressed*,22
5/7/2020,22520,21,80
5/7/2020,22529,0,5
5/7/2020,22534,0,25
5/7/2020,22535,0,8
5/7/2020,22538,0,6
5/7/2020,22539,Suppressed*,34
5/7/2020,22542,0,20
5/7/2020,22546,23,176
5/7/2020,22548,0,3
5/7/2020,22551,42,279
5/7/2020,22553,12,201
5/7/2020,22554,165,927
5/7/2020,22556,84,439
5/7/2020,22560,15,92
5/7/2020,22567,Suppressed*,48
5/7/2020,22572,178,303
5/7/2020,22576,0,25
5/7/2020,22578,0,31
5/7/2020,22579,0,2
5/7/2020,22580,5,71
5/7/2020,22601,66,149
5/7/2020,22602,57,146
5/7/2020,22603,25,76
5/7/2020,22610,7,9
